"Parameter","If other","Unit","Type of infectious disease model","Mixing","Study","Pathogen","Variant/Strain","Host","Host type","Host breed","Host Age (group)","Host other characterics","Seeder / Inoculated vaccinated","Contact vaccinated","Vaccine","Value","Lower confidence/credible level","Upper confidence / credible level","Frequentist / Bayesian estimation","Estimation method","Remarks","Reference","doi","Filled in by:"
"Basic reproduction number",NA,NA,"SLI/SLIE/SLICE",NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,"Calves-Adult","2 & 3",NA,NA,NA,1.49,1.48,1.5,NA,NA,"Using a nested compartmental (NC) modeling approach, the main objective of this research was to identify the best combination of control and preventive measures that minimizes the prevalence and incidence of JD and the risk of MAP occurrence in a dairy herd. The NC model employs both MAP transmission estimates and data on pen movement of cattle on a dairy to quantify the effectiveness of control and preventive measures. To obtain reasonable ranges of parameter values for between-pen movements, the NC model was fitted to the movement data of four typical California dairy farms. Using the estimated ranges of the movement parameters and those of JD from previous research, the basic reproduction number was calculated to measure the risk of MAP occurrence in each pen environment as well as the entire dairy","Konboon et al., 2018","https://doi.org/10.1371%2Fjournal.pone.0203190","AA"
"Basic reproduction number",NA,NA,"SLI/SLIE/SLICE",NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,"Calves-Adult","1 & 4b",NA,NA,NA,1.3,1.29,1.31,NA,NA,"Using a nested compartmental (NC) modeling approach, the main objective of this research was to identify the best combination of control and preventive measures that minimizes the prevalence and incidence of JD and the risk of MAP occurrence in a dairy herd. The NC model employs both MAP transmission estimates and data on pen movement of cattle on a dairy to quantify the effectiveness of control and preventive measures. To obtain reasonable ranges of parameter values for between-pen movements, the NC model was fitted to the movement data of four typical California dairy farms. Using the estimated ranges of the movement parameters and those of JD from previous research, the basic reproduction number was calculated to measure the risk of MAP occurrence in each pen environment as well as the entire dairy","Konboon et al., 2018","https://doi.org/10.1371%2Fjournal.pone.0203190","AA"
"Basic reproduction number",NA,NA,"SLI/SLIE/SLICE",NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,"Calves-Adult","2 & 4b",NA,NA,NA,1.29,1.28,1.3,NA,NA,"Using a nested compartmental (NC) modeling approach, the main objective of this research was to identify the best combination of control and preventive measures that minimizes the prevalence and incidence of JD and the risk of MAP occurrence in a dairy herd. The NC model employs both MAP transmission estimates and data on pen movement of cattle on a dairy to quantify the effectiveness of control and preventive measures. To obtain reasonable ranges of parameter values for between-pen movements, the NC model was fitted to the movement data of four typical California dairy farms. Using the estimated ranges of the movement parameters and those of JD from previous research, the basic reproduction number was calculated to measure the risk of MAP occurrence in each pen environment as well as the entire dairy","Konboon et al., 2018","https://doi.org/10.1371%2Fjournal.pone.0203190","AA"
"Basic reproduction number",NA,NA,"SLI/SLIE/SLICE",NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,"Calves-Adult","5 & 4b",NA,NA,NA,1.27,1.27,1.28,NA,NA,"Using a nested compartmental (NC) modeling approach, the main objective of this research was to identify the best combination of control and preventive measures that minimizes the prevalence and incidence of JD and the risk of MAP occurrence in a dairy herd. The NC model employs both MAP transmission estimates and data on pen movement of cattle on a dairy to quantify the effectiveness of control and preventive measures. To obtain reasonable ranges of parameter values for between-pen movements, the NC model was fitted to the movement data of four typical California dairy farms. Using the estimated ranges of the movement parameters and those of JD from previous research, the basic reproduction number was calculated to measure the risk of MAP occurrence in each pen environment as well as the entire dairy","Konboon et al., 2018","https://doi.org/10.1371%2Fjournal.pone.0203190","AA"
"Basic reproduction number",NA,NA,"SLI/SLIE/SLICE",NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,"Calves-Adult","3 & 4b",NA,NA,NA,1.21,1.21,1.22,NA,NA,"Using a nested compartmental (NC) modeling approach, the main objective of this research was to identify the best combination of control and preventive measures that minimizes the prevalence and incidence of JD and the risk of MAP occurrence in a dairy herd. The NC model employs both MAP transmission estimates and data on pen movement of cattle on a dairy to quantify the effectiveness of control and preventive measures. To obtain reasonable ranges of parameter values for between-pen movements, the NC model was fitted to the movement data of four typical California dairy farms. Using the estimated ranges of the movement parameters and those of JD from previous research, the basic reproduction number was calculated to measure the risk of MAP occurrence in each pen environment as well as the entire dairy","Konboon et al., 2018","https://doi.org/10.1371%2Fjournal.pone.0203190","AA"
"Basic reproduction number",NA,NA,"SLI/SLIE/SLICE",NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,"Calves-Adult","3 & 4a",NA,NA,NA,1.09,1.09,1.1,NA,NA,"Using a nested compartmental (NC) modeling approach, the main objective of this research was to identify the best combination of control and preventive measures that minimizes the prevalence and incidence of JD and the risk of MAP occurrence in a dairy herd. The NC model employs both MAP transmission estimates and data on pen movement of cattle on a dairy to quantify the effectiveness of control and preventive measures. To obtain reasonable ranges of parameter values for between-pen movements, the NC model was fitted to the movement data of four typical California dairy farms. Using the estimated ranges of the movement parameters and those of JD from previous research, the basic reproduction number was calculated to measure the risk of MAP occurrence in each pen environment as well as the entire dairy","Konboon et al., 2018","https://doi.org/10.1371%2Fjournal.pone.0203190","AA"
"Basic reproduction number",NA,NA,"SLI/SLIE/SLICE",NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,"Calves-Adult","4a & 4b",NA,NA,NA,1.01,1.01,1.02,NA,NA,"Using a nested compartmental (NC) modeling approach, the main objective of this research was to identify the best combination of control and preventive measures that minimizes the prevalence and incidence of JD and the risk of MAP occurrence in a dairy herd. The NC model employs both MAP transmission estimates and data on pen movement of cattle on a dairy to quantify the effectiveness of control and preventive measures. To obtain reasonable ranges of parameter values for between-pen movements, the NC model was fitted to the movement data of four typical California dairy farms. Using the estimated ranges of the movement parameters and those of JD from previous research, the basic reproduction number was calculated to measure the risk of MAP occurrence in each pen environment as well as the entire dairy","Konboon et al., 2018","https://doi.org/10.1371%2Fjournal.pone.0203190","AA"
"Transmission parameter",NA,"day-1","Multiscale model",NA,"Other","Paratuberculosis",NA,"Ruminants",NA,NA,NA,NA,NA,NA,NA,0.00027,0,0.27,NA,NA,"[Some R0 and Beta parameters are calculated but based on efficacy of intervention which is listed as a decimal]. The results of this study, through numerical analysis of the multiscale model, show that superinfection influences the dynamics of paratuberculosis only at the start of the infection, while the MAP bacteria replication continuously influences paratuberculosis dynamics throughout the infection until the host recovers from the initial infectious episode. This is largely because the replication of MAP bacteria at the within-host scale sustains the dynamics of paratuberculosis at this scale domain. We further use the embedded multiscale model developed in this study to . evaluate the comparative effectiveness of paratuberculosis health interventions that influence the disease dynamics at different scales from efficacy data.","Netshikwet and Garira, 2021","https://doi.org/10.1155%2F2021%2F9919700","AA"
"Other","probability of vertical transmission (not clinical infection)",NA,NA,NA,"Other","Paratuberculosis",NA,"Cattle","Beef",NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,"A non-predictive, dynamic and stochastic herd-level simulation model of an outbreak of Johne’s in a suckler-beef herd is reported. Importantly, the model incorporates, with a simple method, the environment as the primary source of infection, reflecting the consensual understanding of the disease. The model also takes into account the density of the infectious agent in the environment. A sensitivity analysis suggests that the model is highly and equally sensitive to certain parameters (probability of infection in the presence of one unit of bacterial density, infectious area and bacterial shedding rate). Mathematical reasons for this similarity in sensitivity are presented.","Humphry et al., 2006","https://doi.org/10.1016/j.tvjl.2005.07.017","AA"
"Other","probability of vertical transmission (clinical infection)",NA,NA,NA,"Other","Paratuberculosis",NA,"Cattle","Beef",NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,"A non-predictive, dynamic and stochastic herd-level simulation model of an outbreak of Johne’s in a suckler-beef herd is reported. Importantly, the model incorporates, with a simple method, the environment as the primary source of infection, reflecting the consensual understanding of the disease. The model also takes into account the density of the infectious agent in the environment. A sensitivity analysis suggests that the model is highly and equally sensitive to certain parameters (probability of infection in the presence of one unit of bacterial density, infectious area and bacterial shedding rate). Mathematical reasons for this similarity in sensitivity are presented.","Humphry et al., 2006","https://doi.org/10.1016/j.tvjl.2005.07.017","AA"
"Transmission parameter","b1",NA,"Stochastic herd level simulation",NA,"Observational","Paratuberculosis",NA,"Cattle","Beef",NA,NA,"winter prevalence, spring calving",NA,NA,NA,6.5,NA,NA,NA,NA,"A non-predictive, dynamic and stochastic herd-level simulation model of an outbreak of Johne’s in a suckler-beef herd is reported. Importantly, the model incorporates, with a simple method, the environment as the primary source of infection, reflecting the consensual understanding of the disease. The model also takes into account the density of the infectious agent in the environment. A sensitivity analysis suggests that the model is highly and equally sensitive to certain parameters (probability of infection in the presence of one unit of bacterial density, infectious area and bacterial shedding rate). Mathematical reasons for this similarity in sensitivity are presented.","Humphry et al., 2006","https://doi.org/10.1016/j.tvjl.2005.07.017","AA"
"Transmission parameter","b1",NA,"Stochastic herd level simulation",NA,"Observational","Paratuberculosis",NA,"Cattle","Beef",NA,NA,"summer prevalence, spring calving",NA,NA,NA,9.38,NA,NA,NA,NA,"A non-predictive, dynamic and stochastic herd-level simulation model of an outbreak of Johne’s in a suckler-beef herd is reported. Importantly, the model incorporates, with a simple method, the environment as the primary source of infection, reflecting the consensual understanding of the disease. The model also takes into account the density of the infectious agent in the environment. A sensitivity analysis suggests that the model is highly and equally sensitive to certain parameters (probability of infection in the presence of one unit of bacterial density, infectious area and bacterial shedding rate). Mathematical reasons for this similarity in sensitivity are presented.","Humphry et al., 2006","https://doi.org/10.1016/j.tvjl.2005.07.017","AA"
"Transmission parameter","b1",NA,"Stochastic herd level simulation",NA,"Observational","Paratuberculosis",NA,"Cattle","Beef",NA,NA,"winter prevalence, autumn calving",NA,NA,NA,9.28,NA,NA,NA,NA,"A non-predictive, dynamic and stochastic herd-level simulation model of an outbreak of Johne’s in a suckler-beef herd is reported. Importantly, the model incorporates, with a simple method, the environment as the primary source of infection, reflecting the consensual understanding of the disease. The model also takes into account the density of the infectious agent in the environment. A sensitivity analysis suggests that the model is highly and equally sensitive to certain parameters (probability of infection in the presence of one unit of bacterial density, infectious area and bacterial shedding rate). Mathematical reasons for this similarity in sensitivity are presented.","Humphry et al., 2006","https://doi.org/10.1016/j.tvjl.2005.07.017","AA"
"Transmission parameter","b1",NA,"Stochastic herd level simulation",NA,"Observational","Paratuberculosis",NA,"Cattle","Beef",NA,NA,"summer prevalence, autumn calving",NA,NA,NA,24.4,NA,NA,NA,NA,"A non-predictive, dynamic and stochastic herd-level simulation model of an outbreak of Johne’s in a suckler-beef herd is reported. Importantly, the model incorporates, with a simple method, the environment as the primary source of infection, reflecting the consensual understanding of the disease. The model also takes into account the density of the infectious agent in the environment. A sensitivity analysis suggests that the model is highly and equally sensitive to certain parameters (probability of infection in the presence of one unit of bacterial density, infectious area and bacterial shedding rate). Mathematical reasons for this similarity in sensitivity are presented.","Humphry et al., 2006","https://doi.org/10.1016/j.tvjl.2005.07.017","AA"
"Transmission parameter","b*",NA,"Stochastic herd level simulation",NA,"Observational","Paratuberculosis",NA,"Cattle","Beef",NA,NA,"winter prevalence, spring calving",NA,NA,NA,1.07,NA,NA,NA,NA,"A non-predictive, dynamic and stochastic herd-level simulation model of an outbreak of Johne’s in a suckler-beef herd is reported. Importantly, the model incorporates, with a simple method, the environment as the primary source of infection, reflecting the consensual understanding of the disease. The model also takes into account the density of the infectious agent in the environment. A sensitivity analysis suggests that the model is highly and equally sensitive to certain parameters (probability of infection in the presence of one unit of bacterial density, infectious area and bacterial shedding rate). Mathematical reasons for this similarity in sensitivity are presented.","Humphry et al., 2006","https://doi.org/10.1016/j.tvjl.2005.07.017","AA"
"Transmission parameter","b*",NA,"Stochastic herd level simulation",NA,"Observational","Paratuberculosis",NA,"Cattle","Beef",NA,NA,"summer prevalence, spring calving",NA,NA,NA,1.08,NA,NA,NA,NA,"A non-predictive, dynamic and stochastic herd-level simulation model of an outbreak of Johne’s in a suckler-beef herd is reported. Importantly, the model incorporates, with a simple method, the environment as the primary source of infection, reflecting the consensual understanding of the disease. The model also takes into account the density of the infectious agent in the environment. A sensitivity analysis suggests that the model is highly and equally sensitive to certain parameters (probability of infection in the presence of one unit of bacterial density, infectious area and bacterial shedding rate). Mathematical reasons for this similarity in sensitivity are presented.","Humphry et al., 2006","https://doi.org/10.1016/j.tvjl.2005.07.017","AA"
"Transmission parameter","b*",NA,"Stochastic herd level simulation",NA,"Observational","Paratuberculosis",NA,"Cattle","Beef",NA,NA,"winter prevalence, autumn calving",NA,NA,NA,1.19,NA,NA,NA,NA,"A non-predictive, dynamic and stochastic herd-level simulation model of an outbreak of Johne’s in a suckler-beef herd is reported. Importantly, the model incorporates, with a simple method, the environment as the primary source of infection, reflecting the consensual understanding of the disease. The model also takes into account the density of the infectious agent in the environment. A sensitivity analysis suggests that the model is highly and equally sensitive to certain parameters (probability of infection in the presence of one unit of bacterial density, infectious area and bacterial shedding rate). Mathematical reasons for this similarity in sensitivity are presented.","Humphry et al., 2006","https://doi.org/10.1016/j.tvjl.2005.07.017","AA"
"Transmission parameter","b*",NA,"Stochastic herd level simulation",NA,"Observational","Paratuberculosis",NA,"Cattle","Beef",NA,NA,"summer prevalence, autumn calving",NA,NA,NA,1.26,NA,NA,NA,NA,"A non-predictive, dynamic and stochastic herd-level simulation model of an outbreak of Johne’s in a suckler-beef herd is reported. Importantly, the model incorporates, with a simple method, the environment as the primary source of infection, reflecting the consensual understanding of the disease. The model also takes into account the density of the infectious agent in the environment. A sensitivity analysis suggests that the model is highly and equally sensitive to certain parameters (probability of infection in the presence of one unit of bacterial density, infectious area and bacterial shedding rate). Mathematical reasons for this similarity in sensitivity are presented.","Humphry et al., 2006","https://doi.org/10.1016/j.tvjl.2005.07.017","AA"
"Transmission parameter","βl","week-1","SLRI",NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,"Calves-Heifers","ingestion of an infectious dose",NA,NA,NA,0.0035,NA,NA,NA,NA,"A non-predictive, dynamic and stochastic herd-level simulation model of an outbreak of Johne’s in a suckler-beef herd is reported. Importantly, the model incorporates, with a simple method, the environment as the primary source of infection, reflecting the consensual understanding of the disease. The model also takes into account the density of the infectious agent in the environment. A sensitivity analysis suggests that the model is highly and equally sensitive to certain parameters (probability of infection in the presence of one unit of bacterial density, infectious area and bacterial shedding rate). Mathematical reasons for this similarity in sensitivity are presented.","Humphry et al., 2006","https://doi.org/10.1016/j.tvjl.2005.07.017","AA"
"Transmission parameter","βc","week-1","SLRI",NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,"Calves-Heifers","one infectious dose present in local environment",NA,NA,NA,0.00035,NA,NA,NA,NA,"A non-predictive, dynamic and stochastic herd-level simulation model of an outbreak of Johne’s in a suckler-beef herd is reported. Importantly, the model incorporates, with a simple method, the environment as the primary source of infection, reflecting the consensual understanding of the disease. The model also takes into account the density of the infectious agent in the environment. A sensitivity analysis suggests that the model is highly and equally sensitive to certain parameters (probability of infection in the presence of one unit of bacterial density, infectious area and bacterial shedding rate). Mathematical reasons for this similarity in sensitivity are presented.","Humphry et al., 2006","https://doi.org/10.1016/j.tvjl.2005.07.017","AA"
"Transmission parameter","βg","week-1","SLRI",NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,"Calves-Heifers","one infectious dose present in global environment",NA,NA,NA,0.000665,NA,NA,NA,NA,"A non-predictive, dynamic and stochastic herd-level simulation model of an outbreak of Johne’s in a suckler-beef herd is reported. Importantly, the model incorporates, with a simple method, the environment as the primary source of infection, reflecting the consensual understanding of the disease. The model also takes into account the density of the infectious agent in the environment. A sensitivity analysis suggests that the model is highly and equally sensitive to certain parameters (probability of infection in the presence of one unit of bacterial density, infectious area and bacterial shedding rate). Mathematical reasons for this similarity in sensitivity are presented.","Humphry et al., 2006","https://doi.org/10.1016/j.tvjl.2005.07.017","AA"
"Transmission parameter","βo","week-1","SLRI",NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,"Calves-Heifers","one infectious dose present on pasture",NA,NA,NA,3.5e-05,NA,NA,NA,NA,"A non-predictive, dynamic and stochastic herd-level simulation model of an outbreak of Johne’s in a suckler-beef herd is reported. Importantly, the model incorporates, with a simple method, the environment as the primary source of infection, reflecting the consensual understanding of the disease. The model also takes into account the density of the infectious agent in the environment. A sensitivity analysis suggests that the model is highly and equally sensitive to certain parameters (probability of infection in the presence of one unit of bacterial density, infectious area and bacterial shedding rate). Mathematical reasons for this similarity in sensitivity are presented.","Humphry et al., 2006","https://doi.org/10.1016/j.tvjl.2005.07.017","AA"
"Transmission parameter",NA,NA,"SI",NA,"Observational","Paratuberculosis",NA,"Cattle",NA,NA,NA,"middle",NA,NA,"middle",2.1,NA,NA,NA,NA,"A dynamic and stochastic simulation model (the “JohneSSim model”) was developed to evaluate the economic and epidemiological effects of different strategies for control of paratuberculosis in dairy herds. Animals occupy one of the six defined infection states; the spread of Johne’s disease is modeled with five infection routes. Many different dairy farm situations can be simulated. Control strategies that can be simulated are: (1) test-and-cull; (2) calf hygiene management; (3) vaccination and (4) grouping of animals. Losses are caused by: (1) reduced milk production; (2) diagnosis and treatment costs; (3) lower slaughter value of cows and (4) sub-optimal culling. The benefits were calculated as reduction in the losses caused by Johne’s disease; the costs of each strategy were calculated on the basis of actual costs of each item; and net present value (NPV) was calculated as benefits minus costs. Herd and prevalence data from The Netherlands and Pennsylvania, USA were used. In both situations, a low true mean prevalence within 20 years could be reached only when all calf management tools were applied.","Groenendaal et al., 2002","https://doi.org/10.1016/S0167-5877(02)00027-2","AA"
"Transmission parameter",NA,NA,"SI",NA,"Observational","Paratuberculosis",NA,"Cattle",NA,NA,NA,"North",NA,NA,"North",5.4,NA,NA,NA,NA,"A dynamic and stochastic simulation model (the “JohneSSim model”) was developed to evaluate the economic and epidemiological effects of different strategies for control of paratuberculosis in dairy herds. Animals occupy one of the six defined infection states; the spread of Johne’s disease is modeled with five infection routes. Many different dairy farm situations can be simulated. Control strategies that can be simulated are: (1) test-and-cull; (2) calf hygiene management; (3) vaccination and (4) grouping of animals. Losses are caused by: (1) reduced milk production; (2) diagnosis and treatment costs; (3) lower slaughter value of cows and (4) sub-optimal culling. The benefits were calculated as reduction in the losses caused by Johne’s disease; the costs of each strategy were calculated on the basis of actual costs of each item; and net present value (NPV) was calculated as benefits minus costs. Herd and prevalence data from The Netherlands and Pennsylvania, USA were used. In both situations, a low true mean prevalence within 20 years could be reached only when all calf management tools were applied.","Groenendaal et al., 2002","https://doi.org/10.1016/S0167-5877(02)00027-2","AA"
"Transmission parameter",NA,NA,"SI",NA,"Observational","Paratuberculosis",NA,"Cattle",NA,NA,NA,"South",NA,NA,"South",9.8,NA,NA,NA,NA,"A dynamic and stochastic simulation model (the “JohneSSim model”) was developed to evaluate the economic and epidemiological effects of different strategies for control of paratuberculosis in dairy herds. Animals occupy one of the six defined infection states; the spread of Johne’s disease is modeled with five infection routes. Many different dairy farm situations can be simulated. Control strategies that can be simulated are: (1) test-and-cull; (2) calf hygiene management; (3) vaccination and (4) grouping of animals. Losses are caused by: (1) reduced milk production; (2) diagnosis and treatment costs; (3) lower slaughter value of cows and (4) sub-optimal culling. The benefits were calculated as reduction in the losses caused by Johne’s disease; the costs of each strategy were calculated on the basis of actual costs of each item; and net present value (NPV) was calculated as benefits minus costs. Herd and prevalence data from The Netherlands and Pennsylvania, USA were used. In both situations, a low true mean prevalence within 20 years could be reached only when all calf management tools were applied.","Groenendaal et al., 2002","https://doi.org/10.1016/S0167-5877(02)00027-2","AA"
"Transmission parameter",NA,NA,"SI",NA,"Observational","Paratuberculosis",NA,"Cattle",NA,NA,NA,"low risk",NA,NA,"low risk",3.6,NA,NA,NA,NA,"A dynamic and stochastic simulation model (the “JohneSSim model”) was developed to evaluate the economic and epidemiological effects of different strategies for control of paratuberculosis in dairy herds. Animals occupy one of the six defined infection states; the spread of Johne’s disease is modeled with five infection routes. Many different dairy farm situations can be simulated. Control strategies that can be simulated are: (1) test-and-cull; (2) calf hygiene management; (3) vaccination and (4) grouping of animals. Losses are caused by: (1) reduced milk production; (2) diagnosis and treatment costs; (3) lower slaughter value of cows and (4) sub-optimal culling. The benefits were calculated as reduction in the losses caused by Johne’s disease; the costs of each strategy were calculated on the basis of actual costs of each item; and net present value (NPV) was calculated as benefits minus costs. Herd and prevalence data from The Netherlands and Pennsylvania, USA were used. In both situations, a low true mean prevalence within 20 years could be reached only when all calf management tools were applied.","Groenendaal et al., 2002","https://doi.org/10.1016/S0167-5877(02)00027-2","AA"
"Transmission parameter",NA,NA,"SI",NA,"Observational","Paratuberculosis",NA,"Cattle",NA,NA,NA,"most common",NA,NA,"most common",5.5,NA,NA,NA,NA,"A dynamic and stochastic simulation model (the “JohneSSim model”) was developed to evaluate the economic and epidemiological effects of different strategies for control of paratuberculosis in dairy herds. Animals occupy one of the six defined infection states; the spread of Johne’s disease is modeled with five infection routes. Many different dairy farm situations can be simulated. Control strategies that can be simulated are: (1) test-and-cull; (2) calf hygiene management; (3) vaccination and (4) grouping of animals. Losses are caused by: (1) reduced milk production; (2) diagnosis and treatment costs; (3) lower slaughter value of cows and (4) sub-optimal culling. The benefits were calculated as reduction in the losses caused by Johne’s disease; the costs of each strategy were calculated on the basis of actual costs of each item; and net present value (NPV) was calculated as benefits minus costs. Herd and prevalence data from The Netherlands and Pennsylvania, USA were used. In both situations, a low true mean prevalence within 20 years could be reached only when all calf management tools were applied.","Groenendaal et al., 2002","https://doi.org/10.1016/S0167-5877(02)00027-2","AA"
"Transmission parameter",NA,NA,"SI",NA,"Observational","Paratuberculosis",NA,"Cattle",NA,NA,NA,"high risk",NA,NA,"high risk",5.7,NA,NA,NA,NA,"A dynamic and stochastic simulation model (the “JohneSSim model”) was developed to evaluate the economic and epidemiological effects of different strategies for control of paratuberculosis in dairy herds. Animals occupy one of the six defined infection states; the spread of Johne’s disease is modeled with five infection routes. Many different dairy farm situations can be simulated. Control strategies that can be simulated are: (1) test-and-cull; (2) calf hygiene management; (3) vaccination and (4) grouping of animals. Losses are caused by: (1) reduced milk production; (2) diagnosis and treatment costs; (3) lower slaughter value of cows and (4) sub-optimal culling. The benefits were calculated as reduction in the losses caused by Johne’s disease; the costs of each strategy were calculated on the basis of actual costs of each item; and net present value (NPV) was calculated as benefits minus costs. Herd and prevalence data from The Netherlands and Pennsylvania, USA were used. In both situations, a low true mean prevalence within 20 years could be reached only when all calf management tools were applied.","Groenendaal et al., 2002","https://doi.org/10.1016/S0167-5877(02)00027-2","AA"
"Probability of transmission via direct contact","disease transmission during milking period from clinically infected cow to susceptible calf",NA,NA,NA,"Observational","Paratuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,"For a cost/benefit analysis purpose, a simple deterministic and stochastic simulation model for intra-herd paratuberculosis transmission has been developed to evaluate the economic consequences of the purchase of a single infected heifer in a French average herd. The values of the epidemiological parameters were provided by a panel of French paratuberculosis experts. The results were in adequacy with field observations. A sensitivity analysis was conducted. The model was however difficult to validate rigorously, since few data on the intra-herd paratuberculosis true prevalence level are currently available.","Pouillot et al., 2004","https://doi.org/10.1051/vetres:2003046","AA"
"Probability of transmission via direct contact","probability of transmission during post partum from clinically infected cow to susceptible calf",NA,NA,NA,"Observational","Paratuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,"For a cost/benefit analysis purpose, a simple deterministic and stochastic simulation model for intra-herd paratuberculosis transmission has been developed to evaluate the economic consequences of the purchase of a single infected heifer in a French average herd. The values of the epidemiological parameters were provided by a panel of French paratuberculosis experts. The results were in adequacy with field observations. A sensitivity analysis was conducted. The model was however difficult to validate rigorously, since few data on the intra-herd paratuberculosis true prevalence level are currently available.","Pouillot et al., 2004","https://doi.org/10.1051/vetres:2003046","AA"
"Probability of transmission via indirect contact","yearly disease transmission probability from clinically infected cow to susceptible calf","year",NA,NA,"Observational","Paratuberculosis",NA,"Cattle",NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,"For a cost/benefit analysis purpose, a simple deterministic and stochastic simulation model for intra-herd paratuberculosis transmission has been developed to evaluate the economic consequences of the purchase of a single infected heifer in a French average herd. The values of the epidemiological parameters were provided by a panel of French paratuberculosis experts. The results were in adequacy with field observations. A sensitivity analysis was conducted. The model was however difficult to validate rigorously, since few data on the intra-herd paratuberculosis true prevalence level are currently available.","Pouillot et al., 2004","https://doi.org/10.1051/vetres:2003046","AA"
"Transmission parameter",NA,NA,NA,NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"A standard model of MAP transmission in dairy herds was modified to include adult low-path infections and 2 infection pathways for infected calves.","Smith et al., 2015","https://doi.org/10.1016%2Fj.prevetmed.2015.10.008","AA"
"Transmission parameter",NA,NA,NA,NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,"A standard model of MAP transmission in dairy herds was modified to include adult low-path infections and 2 infection pathways for infected calves.","Smith et al., 2015","https://doi.org/10.1016%2Fj.prevetmed.2015.10.008","AA"
"Transmission parameter",NA,NA,NA,NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,"A standard model of MAP transmission in dairy herds was modified to include adult low-path infections and 2 infection pathways for infected calves.","Smith et al., 2015","https://doi.org/10.1016%2Fj.prevetmed.2015.10.008","AA"
"Transmission parameter",NA,NA,NA,NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,"A standard model of MAP transmission in dairy herds was modified to include adult low-path infections and 2 infection pathways for infected calves.","Smith et al., 2015","https://doi.org/10.1016%2Fj.prevetmed.2015.10.008","AA"
"Transmission parameter",NA,NA,NA,NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,NA,NA,NA,NA,1.15,NA,NA,NA,NA,"A standard model of MAP transmission in dairy herds was modified to include adult low-path infections and 2 infection pathways for infected calves.","Smith et al., 2015","https://doi.org/10.1016%2Fj.prevetmed.2015.10.008","AA"
"Transmission parameter",NA,NA,NA,NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,"A standard model of MAP transmission in dairy herds was modified to include adult low-path infections and 2 infection pathways for infected calves.","Smith et al., 2015","https://doi.org/10.1016%2Fj.prevetmed.2015.10.008","AA"
"Transmission parameter",NA,NA,NA,NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,NA,NA,NA,NA,1.95,NA,NA,NA,NA,"A standard model of MAP transmission in dairy herds was modified to include adult low-path infections and 2 infection pathways for infected calves.","Smith et al., 2015","https://doi.org/10.1016%2Fj.prevetmed.2015.10.008","AA"
"Transmission parameter",NA,NA,NA,NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,NA,NA,NA,NA,1.75,NA,NA,NA,NA,"A standard model of MAP transmission in dairy herds was modified to include adult low-path infections and 2 infection pathways for infected calves.","Smith et al., 2015","https://doi.org/10.1016%2Fj.prevetmed.2015.10.008","AA"
"Transmission parameter",NA,NA,NA,NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,NA,NA,NA,NA,1.52,NA,NA,NA,NA,"A standard model of MAP transmission in dairy herds was modified to include adult low-path infections and 2 infection pathways for infected calves.","Smith et al., 2015","https://doi.org/10.1016%2Fj.prevetmed.2015.10.008","AA"
"Transmission parameter",NA,NA,NA,NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,NA,NA,NA,NA,1.18,NA,NA,NA,NA,"A standard model of MAP transmission in dairy herds was modified to include adult low-path infections and 2 infection pathways for infected calves.","Smith et al., 2015","https://doi.org/10.1016%2Fj.prevetmed.2015.10.008","AA"
