"","Parameter","Pathogen","Host","Host type","Host breed","Host Age (group)","Host  other characterics","Type of study","Time period","Value","Lower confidence/credible level","Upper confidence / credible level","Remarks","Reference","doi","Filled in by:"
"159","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Young stock","Spring","Faecal Culture","2000-2002",0.009,0.003,0.015,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"160","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Young stock","Summer","Faecal Culture","2000-2002",0.021,0.003,0.038,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"161","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Young stock","Autumn","Faecal Culture","2000-2002",0.015,0.004,0.026,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"162","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Young stock","Winter","Faecal Culture","2000-2002",0.023,0.012,0.033,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"163","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Cows","Spring","Faecal Culture","2000-2002",0.004,0.002,0.007,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"164","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Cows","Summer","Faecal Culture","2000-2002",0,NA,NA,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"165","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Cows","Autumn","Faecal Culture","2000-2002",0.002,0,0.005,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"166","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,"Cows","Winter","Faecal Culture","2000-2002",0.005,0.001,0.009,"n this study within-herd prevalence of SalmonellaDublin was investigated in three age groups (calves, young stock, adult cows) during five herd visits at 3-month intervals of 14 endemically infected dairy herds. A total of 10162 paired faecal cultures and antibody measurements were used to calculate the age and temporal dynamics of seroprevalence and prevalence of positive faecal cultures. Faecal culture-positive prevalence was generally low. It was highest (5·4%) in calves during December to February. Seroprevalence varied from 0% to 70% between herds, but was generally more stable in young stock and adult cows than in calves.","Nielsen et al., 2013","https://doi.org/10.1017%2FS0950268812003007","AA"
"167","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,NA,NA,"Seroprevalence","1995-1997",0.164,0.142,0.185,"Herd-level sensitivities of bacteriological and serological methods were compared in 79 bovine dairy herds, recently infected with Salmonellaenterica subsp. enterica serovar Dublin. All farms experienced clinical signs of salmonellosis for the first time and had no history of vaccination against salmonellosis. At the start of the study, infection with serovar Dublin was confirmed with at least one positive bacteriologic culture for serovar Dublin from a clinical case (gold standard for herd infection).","Veling et al., 2002","https://doi.org/10.1016/S0167-5877(01)00276-8","AA"
"168","Within herd prevalence","SalmonellaDublin","Cattle",NA,NA,NA,NA,"Seroprevalence","1996-2016",0.038,NA,NA,"within-herd prevalence of infectious animals of 3.8%","de Knegt et al., 2020","https://doi.org/10.1016/j.prevetmed.2018.09.005","AA"
"169","Within herd prevalence","SalmonellaDublin","Cattle","Dairy",NA,NA,NA,"Seroprevalence","2019-2020",0.09,NA,NA,"Bulk tank milk (BTM) samples and 10 heifer serum samples were collected from 120 Estonian dairy herds with at least 100 cows, between August 2019 and July 2020. All samples were tested for antibodies against bovine herpesvirus 1 (BHV-1), bovine viral diarrhoea virus (Bovine Viral Diarrhoea VirusV), bovine respiratory syncytial virus (BRSV), Mycoplasma bovis, Mycobacterium avium spp. paratuberculosis (MAP) and SalmonellaDublin using commercial ELISA.","Motus et al., 2021","https://doi.org/10.1016/j.prevetmed.2021.105389","AA"
"170","Within herd prevalence","Swine Influenza","Pigs",NA,NA,"2 weeks - 22 weeks (slaughter)",NA,"Prevalence (PCR)","2019",0.766,NA,NA,"Danish pig herd by sampling and PCR testing of pigs from two weeks of age until slaughter at 22 weeks of age.Overall, 76.6% of the pigs became PCR positive for swIAV during the study, with the highest prevalence at four weeks of age.","Bhatta et al., 2020","https://doi.org/10.3390%2Fv12091013","AA"
"171","Within herd prevalence","Swine Influenza","Pigs",NA,NA,NA,NA,"Survey","2006-2008",0.323,NA,NA,"Herd-level factors associated with European H1N1 or H1N2 swine influenza virus (SIV) infections were assessed by mean of a cross-sectional study carried out in 125 herds in France. Serum samples from 15 fattening pigs in each herd were tested by haemagglutination inhibition.","Fablet et al., 2013","https://doi.org/10.1016/j.prevetmed.2013.07.006","AA"
"172","Within herd prevalence","Swine Influenza","Pigs",NA,NA,NA,NA,"Systematic review and meta-analysis","<2017",0.326,NA,NA,"Articles published after 1990 containing data on SI on pig and herd-level seroprevalence, isolation and detection rates, and risk factors were included. Meta-regression analyses using seroprevalence and virological rates were performed.","Baudon et al., 2017","https://doi.org/10.1371/journal.pone.0179044","AA"
"173","Within herd prevalence","Swine Influenza","Pigs",NA,NA,NA,NA,"Systematic review and meta-analysis","<2017",0.878,NA,NA,"Articles published after 1990 containing data on SI on pig and herd-level seroprevalence, isolation and detection rates, and risk factors were included. Meta-regression analyses using seroprevalence and virological rates were performed.","Baudon et al., 2017","https://doi.org/10.1371/journal.pone.0179044","AA"
"174","Within herd prevalence","Swine Influenza","Pigs",NA,NA,NA,"Norway","Review",NA,0.6,NA,NA,"Rewview on epidemiology of Swine Influenza","Li and Roberston, 2021","https://doi.org/10.1186/s44149-021-00024-6","AA"
"175","Within herd prevalence","Swine Influenza","Pigs",NA,NA,NA,"Spain",NA,NA,0.623,NA,NA,"Rewview on epidemiology of Swine Influenza","Li and Roberston, 2021","https://doi.org/10.1186/s44149-021-00024-6","AA"
"176","Within herd prevalence","Swine Influenza","Pigs",NA,NA,NA,"England",NA,NA,0.33,NA,NA,"Rewview on epidemiology of Swine Influenza","Li and Roberston, 2021","https://doi.org/10.1186/s44149-021-00024-6","AA"
"177","Within herd prevalence","Swine Influenza","Pigs",NA,NA,NA,"Belgium; Italy; France",NA,NA,0.6,NA,NA,"Rewview on epidemiology of Swine Influenza","Li and Roberston, 2021","https://doi.org/10.1186/s44149-021-00024-6","AA"
