"","Parameter","Test Type","Pathogen","Host","Host type","Host breed","Host Age (group)","Host other characterics","study","Type of sample","Value","Lower confidence/credible level","Upper confidence / credible level","Remarks","Reference","doi","Filled in by:"
"445","Specificity","PCR","Hepatitis E","Pigs",NA,NA,NA,NA,"Comparative","Liver",1,NA,NA,"An international collaborative study on method reproducibility involving 11 laboratories was performed for an HEV-RNA detection method, which consists of steps of sample homogenization, RNA extraction and real-time RT-PCR detection, including a process control. Naturally contaminated pork liver samples containing two different amounts of HEV and a HEV-negative pork liver sample were tested by all laboratories using the method.","Trojnar et al., 2020","https://doi.org/10.3390%2Fmicroorganisms8101460","AA"
"446","Sensitivity","ELISA Ab","Infectious Bovine Rhinotracheitis","Cattle",NA,NA,NA,NA,NA,"Serum (individual)",NA,0.72,0.927,NA,"Raaperi et al. 2014","https://doi.org/10.1016/j.tvjl.2014.05.040",NA
"447","Specificity","ELISA Ab","Infectious Bovine Rhinotracheitis","Cattle",NA,NA,NA,NA,NA,"Serum (individual)",NA,0.92,1,NA,"Raaperi et al. 2015","https://doi.org/10.1016/j.tvjl.2014.05.040",NA
"448","Sensitivity","PCR","Infectious Bovine Rhinotracheitis","Cattle",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 pg - A multiplex polymerase chain reaction (M-PCR) was developed to detect and differentiate between BHV-1 and BHV-5. In this M-PCR two pairs of primers (TK1, TK2 and GD1, GD2) were used in the same reaction mix to amplify a thymidine kinase genomic region (183 bp) of BHV-1 and one genomic region of the glycoprotein D (564 bp) of BHV-5. The specificity of the M-PCR was demonstrated when using both primers pairs simultaneously with BHV-1 and BHV-5 templates.","Alegre et al., 2008","https://doi.org/10.1111/j.1439-0450.2001.00489.x","AA"
"449","Sensitivity","Ab test","Infectious Bovine Rhinotracheitis","Cattle","Dairy",NA,NA,NA,NA,"Herd level sensitivity",1,NA,NA,"Derived from http://search.cosmobio.co.jp/cosmo_search_p/search_gate2/docs/GDH_/VFP03140960.2006823.pdf listed in larger study examining herd level prevalence of vet pathogens in UK dairy herds","Velasova et al., 2017","https://doi.org/10.3168/jds.2016-11863","AA"
"450","Specificity","Ab test","Infectious Bovine Rhinotracheitis","Cattle","Dairy",NA,NA,NA,NA,"Herd level specificity",0.996,NA,NA,"Derived from http://search.cosmobio.co.jp/cosmo_search_p/search_gate2/docs/GDH_/VFP03140960.2006823.pdf listed in larger study examining herd level prevalence of vet pathogens in UK dairy herds","Velasova et al., 2017","https://doi.org/10.3168/jds.2016-11863","AA"
"451","Sensitivity","Dot ELISA","Peste des Petits Ruminants","Small Ruminants",NA,NA,NA,NA,"Descriptive Review","Dot ELISA vs Sandwich ELISA",0.82,NA,NA,"Extensive review covering a wide range of Peste des Petits Ruminants diagnostics including those listed, and others such as LAMP","Santhamani et al., 2016","10.1007/s00705-016-3009-2","AA"
"452","Sensitivity","Dot ELISA","Peste des Petits Ruminants","Small Ruminants",NA,NA,NA,NA,NA,"Cell ELISA vs Infectivity titration",0.9726,NA,NA,"Extensive review covering a wide range of Peste des Petits Ruminants diagnostics including those listed, and others such as LAMP","Santhamani et al., 2016","10.1007/s00705-016-3009-2","AA"
"453","Sensitivity","Dot ELISA","Peste des Petits Ruminants","Small Ruminants",NA,NA,NA,NA,NA,"Blocking ELISA vs VNT",0.904,NA,NA,"Extensive review covering a wide range of Peste des Petits Ruminants diagnostics including those listed, and others such as LAMP","Santhamani et al., 2016","10.1007/s00705-016-3009-2","AA"
"454","Sensitivity","Dot ELISA","Peste des Petits Ruminants","Small Ruminants",NA,NA,NA,NA,NA,"Competitive ELISA vs VNT",0.9,NA,NA,"Extensive review covering a wide range of Peste des Petits Ruminants diagnostics including those listed, and others such as LAMP","Santhamani et al., 2016","10.1007/s00705-016-3009-2","AA"
"455","Sensitivity","Dot ELISA","Peste des Petits Ruminants","Small Ruminants",NA,NA,NA,NA,NA,"Competitive ELISA vs VNT",0.95,NA,NA,"Extensive review covering a wide range of Peste des Petits Ruminants diagnostics including those listed, and others such as LAMP","Santhamani et al., 2016","10.1007/s00705-016-3009-2","AA"
"456","Sensitivity","Dot ELISA","Peste des Petits Ruminants","Small Ruminants",NA,NA,NA,NA,NA,"indirect ELISA vs competitive ELISA",0.8,NA,NA,"Extensive review covering a wide range of Peste des Petits Ruminants diagnostics including those listed, and others such as LAMP","Santhamani et al., 2016","10.1007/s00705-016-3009-2","AA"
"457","Sensitivity","HPeste des Petits Ruminants-b-ELISA; c-ELISA","Peste des Petits Ruminants","Small Ruminants",NA,NA,NA,NA,"Comparative","HPeste des Petits Ruminants-b-ELISA vs c-ELISA)",0.7955,NA,NA,"The sensitivity and specificity of HPeste des Petits Ruminants- b-ELISA® were 79.55 and 99.74%, respectively, compared to c-ELISA. The HPeste des Petits Ruminants- b-ELISA® was in perfect agreement (κ = 0.86) with the c-ELISA in all sera collected from goats, sheep and cattle.","Lelisa et al., 2022","https://doi.org/10.1186%2Fs12866-022-02669-w","AA"
"458","Specificity","HPeste des Petits Ruminants-b-ELISA; c-ELISA","Peste des Petits Ruminants","Small Ruminants",NA,NA,NA,NA,"Comparative","HPeste des Petits Ruminants-b-ELISA vs compared with c-ELISA",0.9974,NA,NA,"The sensitivity and specificity of HPeste des Petits Ruminants- b-ELISA® were 79.55 and 99.74%, respectively, compared to c-ELISA. The HPeste des Petits Ruminants- b-ELISA® was in perfect agreement (κ = 0.86) with the c-ELISA in all sera collected from goats, sheep and cattle.","Lelisa et al., 2022","https://doi.org/10.1186%2Fs12866-022-02669-w","AA"
"459","Sensitivity","ELISA Ag","Peste des Petits Ruminants","Small Ruminants",NA,NA,NA,NA,"Comparative",NA,0.78,NA,NA,"Here, two newly emerged Peste des Petits Ruminants virus (Peste des Petits Ruminants) isolates from India and from the Middle East were tested in an animal trial to analyse their pathogenesis, and to evaluate serological and molecular detection methods. Animals infected with the two different Peste des Petits Ruminants isolates showed marked differences in clinical manifestation and scoring. The Peste des Petits Ruminants isolate from India was less virulent than the virus from the Middle East. Commercially available rapid detection methods for Peste des Petits Ruminants antigen (two Lateral Flow Devices (LFDs) and one antigen ELISA) were evaluated in comparison with a nucleic acid detection method.","Halecker et al., 2020","https://doi.org/10.1111/tbed.13660","AA"
"460","Sensitivity","LFD","Peste des Petits Ruminants","Small Ruminants",NA,NA,NA,NA,"Comparative",NA,0.75,NA,NA,"Here, two newly emerged Peste des Petits Ruminants virus (Peste des Petits Ruminants) isolates from India and from the Middle East were tested in an animal trial to analyse their pathogenesis, and to evaluate serological and molecular detection methods. Animals infected with the two different Peste des Petits Ruminants isolates showed marked differences in clinical manifestation and scoring. The Peste des Petits Ruminants isolate from India was less virulent than the virus from the Middle East. Commercially available rapid detection methods for Peste des Petits Ruminants antigen (two Lateral Flow Devices (LFDs) and one antigen ELISA) were evaluated in comparison with a nucleic acid detection method.","Halecker et al., 2020","https://doi.org/10.1111/tbed.13660","AA"
"461","Sensitivity","LFD","Peste des Petits Ruminants","Small Ruminants",NA,NA,NA,NA,"Comparative",NA,0.78,NA,NA,"Here, two newly emerged Peste des Petits Ruminants virus (Peste des Petits Ruminants) isolates from India and from the Middle East were tested in an animal trial to analyse their pathogenesis, and to evaluate serological and molecular detection methods. Animals infected with the two different Peste des Petits Ruminants isolates showed marked differences in clinical manifestation and scoring. The Peste des Petits Ruminants isolate from India was less virulent than the virus from the Middle East. Commercially available rapid detection methods for Peste des Petits Ruminants antigen (two Lateral Flow Devices (LFDs) and one antigen ELISA) were evaluated in comparison with a nucleic acid detection method.","Halecker et al., 2020","https://doi.org/10.1111/tbed.13660","AA"
"462","Specificity","ELISA Ag","Peste des Petits Ruminants","Small Ruminants",NA,NA,NA,NA,"Comparative",NA,1,NA,NA,"Here, two newly emerged Peste des Petits Ruminants virus (Peste des Petits Ruminants) isolates from India and from the Middle East were tested in an animal trial to analyse their pathogenesis, and to evaluate serological and molecular detection methods. Animals infected with the two different Peste des Petits Ruminants isolates showed marked differences in clinical manifestation and scoring. The Peste des Petits Ruminants isolate from India was less virulent than the virus from the Middle East. Commercially available rapid detection methods for Peste des Petits Ruminants antigen (two Lateral Flow Devices (LFDs) and one antigen ELISA) were evaluated in comparison with a nucleic acid detection method.","Halecker et al., 2020","https://doi.org/10.1111/tbed.13660","AA"
"463","Specificity","LFD","Peste des Petits Ruminants","Small Ruminants",NA,NA,NA,NA,"Comparative",NA,1,NA,NA,"Here, two newly emerged Peste des Petits Ruminants virus (Peste des Petits Ruminants) isolates from India and from the Middle East were tested in an animal trial to analyse their pathogenesis, and to evaluate serological and molecular detection methods. Animals infected with the two different Peste des Petits Ruminants isolates showed marked differences in clinical manifestation and scoring. The Peste des Petits Ruminants isolate from India was less virulent than the virus from the Middle East. Commercially available rapid detection methods for Peste des Petits Ruminants antigen (two Lateral Flow Devices (LFDs) and one antigen ELISA) were evaluated in comparison with a nucleic acid detection method.","Halecker et al., 2020","https://doi.org/10.1111/tbed.13660","AA"
"464","Sensitivity","ELISA Ab","PRRS","Pigs",NA,NA,NA,"Idexx","Comparative","Serum (individual)",0.89,0.868,0.912,"Here, we evaluate the practicability of the method by applying it to the results of six ELISA tests for antibodies against the porcine reproductive and respiratory syndrome (PRRS) virus in pigs that generally follow the same biological principle. First, we present different methods of identifying suitable starting values for the algorithm and apply these to the dataset and a vaccinated subgroup. We present the calculated values of the test accuracies, the estimated proportion of antibody-positive animals and the dependency structure for both datasets. Different starting values led to matching results for the entire dataset. For the vaccinated subgroup, the results were more dependent on the selected starting values. All six ELISA tests are well suited to detect antibodies against PRRS virus, whereas none of the tests had the best values for sensitivity and specificity simultaneously.","Schonenberg et al., 2022","https://doi.org/10.1371/journal.pone.0262944","AA"
"465","Sensitivity","ELISA Ab","PRRS","Pigs",NA,NA,NA,"Pigtyp","Comparative","Serum (individual)",0.845,0.82,0.87,"Here, we evaluate the practicability of the method by applying it to the results of six ELISA tests for antibodies against the porcine reproductive and respiratory syndrome (PRRS) virus in pigs that generally follow the same biological principle. First, we present different methods of identifying suitable starting values for the algorithm and apply these to the dataset and a vaccinated subgroup. We present the calculated values of the test accuracies, the estimated proportion of antibody-positive animals and the dependency structure for both datasets. Different starting values led to matching results for the entire dataset. For the vaccinated subgroup, the results were more dependent on the selected starting values. All six ELISA tests are well suited to detect antibodies against PRRS virus, whereas none of the tests had the best values for sensitivity and specificity simultaneously.","Schonenberg et al., 2022","https://doi.org/10.1371/journal.pone.0262944","AA"
"466","Sensitivity","ELISA Ab","PRRS","Pigs",NA,NA,NA,"IDVet","Comparative","Serum (individual)",0.798,0.771,0.826,"Here, we evaluate the practicability of the method by applying it to the results of six ELISA tests for antibodies against the porcine reproductive and respiratory syndrome (PRRS) virus in pigs that generally follow the same biological principle. First, we present different methods of identifying suitable starting values for the algorithm and apply these to the dataset and a vaccinated subgroup. We present the calculated values of the test accuracies, the estimated proportion of antibody-positive animals and the dependency structure for both datasets. Different starting values led to matching results for the entire dataset. For the vaccinated subgroup, the results were more dependent on the selected starting values. All six ELISA tests are well suited to detect antibodies against PRRS virus, whereas none of the tests had the best values for sensitivity and specificity simultaneously.","Schonenberg et al., 2022","https://doi.org/10.1371/journal.pone.0262944","AA"
"467","Sensitivity","ELISA Ab","PRRS","Pigs",NA,NA,NA,"Ingezim 2.0","Comparative","Serum (individual)",0.758,0.728,0.787,"Here, we evaluate the practicability of the method by applying it to the results of six ELISA tests for antibodies against the porcine reproductive and respiratory syndrome (PRRS) virus in pigs that generally follow the same biological principle. First, we present different methods of identifying suitable starting values for the algorithm and apply these to the dataset and a vaccinated subgroup. We present the calculated values of the test accuracies, the estimated proportion of antibody-positive animals and the dependency structure for both datasets. Different starting values led to matching results for the entire dataset. For the vaccinated subgroup, the results were more dependent on the selected starting values. All six ELISA tests are well suited to detect antibodies against PRRS virus, whereas none of the tests had the best values for sensitivity and specificity simultaneously.","Schonenberg et al., 2022","https://doi.org/10.1371/journal.pone.0262944","AA"
"468","Sensitivity","ELISA Ab","PRRS","Pigs",NA,NA,NA,"Ingezim Universal","Comparative","Serum (individual)",0.914,0.895,0.934,"Here, we evaluate the practicability of the method by applying it to the results of six ELISA tests for antibodies against the porcine reproductive and respiratory syndrome (PRRS) virus in pigs that generally follow the same biological principle. First, we present different methods of identifying suitable starting values for the algorithm and apply these to the dataset and a vaccinated subgroup. We present the calculated values of the test accuracies, the estimated proportion of antibody-positive animals and the dependency structure for both datasets. Different starting values led to matching results for the entire dataset. For the vaccinated subgroup, the results were more dependent on the selected starting values. All six ELISA tests are well suited to detect antibodies against PRRS virus, whereas none of the tests had the best values for sensitivity and specificity simultaneously.","Schonenberg et al., 2022","https://doi.org/10.1371/journal.pone.0262944","AA"
"469","Sensitivity","ELISA Ab","PRRS","Pigs",NA,NA,NA,"PrioCHECK","Comparative","Serum (individual)",0.953,0.939,0.968,"Here, we evaluate the practicability of the method by applying it to the results of six ELISA tests for antibodies against the porcine reproductive and respiratory syndrome (PRRS) virus in pigs that generally follow the same biological principle. First, we present different methods of identifying suitable starting values for the algorithm and apply these to the dataset and a vaccinated subgroup. We present the calculated values of the test accuracies, the estimated proportion of antibody-positive animals and the dependency structure for both datasets. Different starting values led to matching results for the entire dataset. For the vaccinated subgroup, the results were more dependent on the selected starting values. All six ELISA tests are well suited to detect antibodies against PRRS virus, whereas none of the tests had the best values for sensitivity and specificity simultaneously.","Schonenberg et al., 2022","https://doi.org/10.1371/journal.pone.0262944","AA"
"470","Specificity","ELISA Ab","PRRS","Pigs",NA,NA,NA,"Idexx","Comparative","Serum (individual)",0.948,0.933,0.964,"Here, we evaluate the practicability of the method by applying it to the results of six ELISA tests for antibodies against the porcine reproductive and respiratory syndrome (PRRS) virus in pigs that generally follow the same biological principle. First, we present different methods of identifying suitable starting values for the algorithm and apply these to the dataset and a vaccinated subgroup. We present the calculated values of the test accuracies, the estimated proportion of antibody-positive animals and the dependency structure for both datasets. Different starting values led to matching results for the entire dataset. For the vaccinated subgroup, the results were more dependent on the selected starting values. All six ELISA tests are well suited to detect antibodies against PRRS virus, whereas none of the tests had the best values for sensitivity and specificity simultaneously.","Schonenberg et al., 2022","https://doi.org/10.1371/journal.pone.0262944","AA"
"471","Specificity","ELISA Ab","PRRS","Pigs",NA,NA,NA,"Pigtyp","Comparative","Serum (individual)",0.968,0.956,0.98,"Here, we evaluate the practicability of the method by applying it to the results of six ELISA tests for antibodies against the porcine reproductive and respiratory syndrome (PRRS) virus in pigs that generally follow the same biological principle. First, we present different methods of identifying suitable starting values for the algorithm and apply these to the dataset and a vaccinated subgroup. We present the calculated values of the test accuracies, the estimated proportion of antibody-positive animals and the dependency structure for both datasets. Different starting values led to matching results for the entire dataset. For the vaccinated subgroup, the results were more dependent on the selected starting values. All six ELISA tests are well suited to detect antibodies against PRRS virus, whereas none of the tests had the best values for sensitivity and specificity simultaneously.","Schonenberg et al., 2022","https://doi.org/10.1371/journal.pone.0262944","AA"
"472","Specificity","ELISA Ab","PRRS","Pigs",NA,NA,NA,"IDVet","Comparative","Serum (individual)",0.982,0.972,0.991,"Here, we evaluate the practicability of the method by applying it to the results of six ELISA tests for antibodies against the porcine reproductive and respiratory syndrome (PRRS) virus in pigs that generally follow the same biological principle. First, we present different methods of identifying suitable starting values for the algorithm and apply these to the dataset and a vaccinated subgroup. We present the calculated values of the test accuracies, the estimated proportion of antibody-positive animals and the dependency structure for both datasets. Different starting values led to matching results for the entire dataset. For the vaccinated subgroup, the results were more dependent on the selected starting values. All six ELISA tests are well suited to detect antibodies against PRRS virus, whereas none of the tests had the best values for sensitivity and specificity simultaneously.","Schonenberg et al., 2022","https://doi.org/10.1371/journal.pone.0262944","AA"
"473","Specificity","ELISA Ab","PRRS","Pigs",NA,NA,NA,"Ingezim 2.0","Comparative","Serum (individual)",0.988,0.981,0.996,"Here, we evaluate the practicability of the method by applying it to the results of six ELISA tests for antibodies against the porcine reproductive and respiratory syndrome (PRRS) virus in pigs that generally follow the same biological principle. First, we present different methods of identifying suitable starting values for the algorithm and apply these to the dataset and a vaccinated subgroup. We present the calculated values of the test accuracies, the estimated proportion of antibody-positive animals and the dependency structure for both datasets. Different starting values led to matching results for the entire dataset. For the vaccinated subgroup, the results were more dependent on the selected starting values. All six ELISA tests are well suited to detect antibodies against PRRS virus, whereas none of the tests had the best values for sensitivity and specificity simultaneously.","Schonenberg et al., 2022","https://doi.org/10.1371/journal.pone.0262944","AA"
"474","Specificity","ELISA Ab","PRRS","Pigs",NA,NA,NA,"Ingezim Universal","Comparative","Serum (individual)",0.876,0.853,0.899,"Here, we evaluate the practicability of the method by applying it to the results of six ELISA tests for antibodies against the porcine reproductive and respiratory syndrome (PRRS) virus in pigs that generally follow the same biological principle. First, we present different methods of identifying suitable starting values for the algorithm and apply these to the dataset and a vaccinated subgroup. We present the calculated values of the test accuracies, the estimated proportion of antibody-positive animals and the dependency structure for both datasets. Different starting values led to matching results for the entire dataset. For the vaccinated subgroup, the results were more dependent on the selected starting values. All six ELISA tests are well suited to detect antibodies against PRRS virus, whereas none of the tests had the best values for sensitivity and specificity simultaneously.","Schonenberg et al., 2022","https://doi.org/10.1371/journal.pone.0262944","AA"
"475","Specificity","ELISA Ab","PRRS","Pigs",NA,NA,NA,"PrioCHECK","Comparative","Serum (individual)",0.77,0.74,0.8,"Here, we evaluate the practicability of the method by applying it to the results of six ELISA tests for antibodies against the porcine reproductive and respiratory syndrome (PRRS) virus in pigs that generally follow the same biological principle. First, we present different methods of identifying suitable starting values for the algorithm and apply these to the dataset and a vaccinated subgroup. We present the calculated values of the test accuracies, the estimated proportion of antibody-positive animals and the dependency structure for both datasets. Different starting values led to matching results for the entire dataset. For the vaccinated subgroup, the results were more dependent on the selected starting values. All six ELISA tests are well suited to detect antibodies against PRRS virus, whereas none of the tests had the best values for sensitivity and specificity simultaneously.","Schonenberg et al., 2022","https://doi.org/10.1371/journal.pone.0262944","AA"
"476","Specificity","RT-PCR","PRRS","Pigs",NA,NA,NA,NA,"Experimental","Serum; semen; blood (individual)",0.617,NA,NA,"Comparison of Commercial Real-Time Reverse Transcription-PCR Assays for Reliable, Early, and Rapid Detection of Heterologous Strains of Porcine Reproductive and Respiratory Syndrome Virus in Experimentally Infected or Noninfected Boars by Use of Different Sample Types","Gerber et al., 2013","https://doi.org/10.1128/jcm.02685-12","AA"
"477","Specificity","RT-PCR","PRRS","Pigs",NA,NA,NA,NA,"Experimental","Serum; semen; blood (individual)",0.672,NA,NA,"Comparison of Commercial Real-Time Reverse Transcription-PCR Assays for Reliable, Early, and Rapid Detection of Heterologous Strains of Porcine Reproductive and Respiratory Syndrome Virus in Experimentally Infected or Noninfected Boars by Use of Different Sample Types","Gerber et al., 2013","https://doi.org/10.1128/jcm.02685-12","AA"
"478","Sensitivity","RT-PCR (tonsil scraping vs serum vs tonsil oral scape)","PRRS","Pigs",NA,NA,"Sows",NA,"Comparative","Serum",0.167,0.57,0.307,"This study compares a new non invsasive method for collection rather of the samples for RT-qPCR diagnosis","Li et al., 2024","https://doi.org/10.1016/j.prevetmed.2023.106082","AA"
"479","Sensitivity","RT-PCR (tonsil scraping vs serum vs tonsil oral scape)","PRRS","Pigs",NA,NA,"Sows",NA,NA,"Tonsil",0.731,0.573,0.876,"This study compares a new non invsasive method for collection rather of the samples for RT-qPCR diagnosis","Li et al., 2024","https://doi.org/10.1016/j.prevetmed.2023.106082","AA"
"480","Sensitivity","RT-PCR (tonsil scraping vs serum vs tonsil oral scape)","PRRS","Pigs",NA,NA,"Sows",NA,NA,"Tonsil oral scrape",0.996,0.951,1,"This study compares a new non invsasive method for collection rather of the samples for RT-qPCR diagnosis","Li et al., 2024","https://doi.org/10.1016/j.prevetmed.2023.106082","AA"
"481","Sensitivity","Cell Culture and Nanopore Sequencing","PRRS","Pigs",NA,NA,NA,NA,"Comparative","Serum",0.273,NA,NA,"In the present study, we examined the suitability of different cell lines as a possible replacement of primary pulmonary alveolar macrophages (PAM) cells for isolation and growth of PRBovine Respiratory Syncytial Virus.","Xie et al., 2021","https://doi.org/10.3390%2Fvaccines9060594","AA"
"482","Sensitivity","Cell Culture and Nanopore Sequencing","PRRS","Pigs",NA,NA,NA,NA,"Comparative","Serum",0.623,NA,NA,"In the present study, we examined the suitability of different cell lines as a possible replacement of primary pulmonary alveolar macrophages (PAM) cells for isolation and growth of PRBovine Respiratory Syncytial Virus.","Xie et al., 2021","https://doi.org/10.3390%2Fvaccines9060594","AA"
"483","Sensitivity","Faecal culture","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Faeces",0.7,0.56,0.81,"HEYM medium","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"484","Sensitivity","Faecal culture","Paratuberculosis","Cattle",NA,NA,">2 years",NA,"Systematic Review","Faeces",0.74,0.65,0.82,"HEYM medium","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"485","Sensitivity","Faecal culture","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Faeces",0.49,0.41,0.56,"HEYM medium","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"486","Sensitivity","Faecal culture","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Faeces",0.23,0.16,0.3,"TREK medium","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"487","Sensitivity","Faecal culture","Paratuberculosis","Cattle",NA,NA,"All cattle >0 years",NA,"Systematic Review","Faeces",0.25,0.2,0.3,"HEYM medium","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"488","Sensitivity","Faecal culture","Paratuberculosis","Cattle",NA,NA,"Parturient cows",NA,"Systematic Review","Faeces",0.29,0.23,0.35,"HEYM medium","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"489","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.5,NA,NA,"ATCC 19698","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"490","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.87,NA,NA,"IDEXX","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"491","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.77,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"492","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.48,NA,NA,"ATCC 19698","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"493","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.74,NA,NA,"IDEXX","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"494","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.25,NA,NA,"IDEXX","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"495","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.36,NA,NA,"IDEXX","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"496","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.32,NA,NA,"IDEXX","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"497","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.6,NA,NA,"LAM","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"498","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.63,NA,NA,"PPA3","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"499","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.63,NA,NA,"PPA3","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"500","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.4,NA,NA,"PPA3","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"501","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.62,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"502","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.83,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"503","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.94,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"504","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.71,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"505","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.24,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"506","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.34,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"507","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.37,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"508","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.31,NA,NA,"IDEXX","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"509","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.24,NA,NA,"IDEXX","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"510","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.4,NA,NA,"LAM","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"511","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.8,NA,NA,"PPA3","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"512","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.33,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"513","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.26,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"514","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.28,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
