"parameter","if_other","unit","model_type","model_mixing","model_scale","study_type","pathogen","variant_strain","host","host_type","host_breed","host_age","host_other","vaccine_seeder","vaccine_contact","vaccine","value","lower_cl","upper_cl","estimation_type","estimation_method","remarks","ref","ref_status","ref_last_access","ref_short","year","filled_by","filled_date","value_original","parameter_type","id"
"Probability of transmission via indirect contact","Sows (different farrowing rooms) - Sows (service)",NA,"SIRS",NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,1e-05,NA,NA,NA,NA,"A stochastic, mathematical model of a farrow-finish pig herd was developed and used to investigate the within-herd transmission dynamics of PRBovine Respiratory Syncytial Virus, and to examine patterns of on-farm persistence and fade-out. The model was structured to represent the management of a typical European pig herd. Three parameters determining the natural history of infection were derived from the literature. Transmission parameters were chosen using PRBovine Respiratory Syncytial Virus antibody data from a cross-sectional study of 103 pig herds (Evans et al., 2008). The seroprevalence by age was generated from the model at 21-day intervals and was compared to the cross-sectional field data using log-likelihood, accounting for the accuracy of the ELISA test used. The model was run for various isolation practices of purchased gilts, contact structure, herd size and the frequency of re-introduction of infectious gilts. The time-dependent log-likelihood patterns varied between herds in a similar way to patterns observed from serological values from the 103 farms","10.1016/j.prevetmed.2009.11.001","doi_invalid",2026-06-25,"Evans et al., 2010",2010,"Alistair Antonopoulos",2025-08-28,1e-05,"Transmission","Transmission*838"
"Probability of transmission via indirect contact","Sows (different farrowing rooms) - Sows (gestating)",NA,"SIRS",NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,1e-05,NA,NA,NA,NA,"A stochastic, mathematical model of a farrow-finish pig herd was developed and used to investigate the within-herd transmission dynamics of PRBovine Respiratory Syncytial Virus, and to examine patterns of on-farm persistence and fade-out. The model was structured to represent the management of a typical European pig herd. Three parameters determining the natural history of infection were derived from the literature. Transmission parameters were chosen using PRBovine Respiratory Syncytial Virus antibody data from a cross-sectional study of 103 pig herds (Evans et al., 2008). The seroprevalence by age was generated from the model at 21-day intervals and was compared to the cross-sectional field data using log-likelihood, accounting for the accuracy of the ELISA test used. The model was run for various isolation practices of purchased gilts, contact structure, herd size and the frequency of re-introduction of infectious gilts. The time-dependent log-likelihood patterns varied between herds in a similar way to patterns observed from serological values from the 103 farms","10.1016/j.prevetmed.2009.11.001","doi_invalid",2026-06-25,"Evans et al., 2010",2010,"Alistair Antonopoulos",2025-08-28,1e-05,"Transmission","Transmission*839"
"Probability of transmission via indirect contact","Sows (different farrowing rooms) - Sows (same farrowing room)",NA,"SIRS",NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,1e-04,NA,NA,NA,NA,"A stochastic, mathematical model of a farrow-finish pig herd was developed and used to investigate the within-herd transmission dynamics of PRBovine Respiratory Syncytial Virus, and to examine patterns of on-farm persistence and fade-out. The model was structured to represent the management of a typical European pig herd. Three parameters determining the natural history of infection were derived from the literature. Transmission parameters were chosen using PRBovine Respiratory Syncytial Virus antibody data from a cross-sectional study of 103 pig herds (Evans et al., 2008). The seroprevalence by age was generated from the model at 21-day intervals and was compared to the cross-sectional field data using log-likelihood, accounting for the accuracy of the ELISA test used. The model was run for various isolation practices of purchased gilts, contact structure, herd size and the frequency of re-introduction of infectious gilts. The time-dependent log-likelihood patterns varied between herds in a similar way to patterns observed from serological values from the 103 farms","10.1016/j.prevetmed.2009.11.001","doi_invalid",2026-06-25,"Evans et al., 2010",2010,"Alistair Antonopoulos",2025-08-28,1e-04,"Transmission","Transmission*840"
"Probability of transmission via indirect contact","Sows (different farrowing rooms) - Sows (different farrowing rooms)",NA,"SIRS",NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,1e-04,NA,NA,NA,NA,"A stochastic, mathematical model of a farrow-finish pig herd was developed and used to investigate the within-herd transmission dynamics of PRBovine Respiratory Syncytial Virus, and to examine patterns of on-farm persistence and fade-out. The model was structured to represent the management of a typical European pig herd. Three parameters determining the natural history of infection were derived from the literature. Transmission parameters were chosen using PRBovine Respiratory Syncytial Virus antibody data from a cross-sectional study of 103 pig herds (Evans et al., 2008). The seroprevalence by age was generated from the model at 21-day intervals and was compared to the cross-sectional field data using log-likelihood, accounting for the accuracy of the ELISA test used. The model was run for various isolation practices of purchased gilts, contact structure, herd size and the frequency of re-introduction of infectious gilts. The time-dependent log-likelihood patterns varied between herds in a similar way to patterns observed from serological values from the 103 farms","10.1016/j.prevetmed.2009.11.001","doi_invalid",2026-06-25,"Evans et al., 2010",2010,"Alistair Antonopoulos",2025-08-28,1e-04,"Transmission","Transmission*841"
"Probability of transmission via direct contact","Rearing-pigs (same pen) - Maiden gilts",NA,"SIRS",NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,1e-05,NA,NA,NA,NA,"A stochastic, mathematical model of a farrow-finish pig herd was developed and used to investigate the within-herd transmission dynamics of PRBovine Respiratory Syncytial Virus, and to examine patterns of on-farm persistence and fade-out. The model was structured to represent the management of a typical European pig herd. Three parameters determining the natural history of infection were derived from the literature. Transmission parameters were chosen using PRBovine Respiratory Syncytial Virus antibody data from a cross-sectional study of 103 pig herds (Evans et al., 2008). The seroprevalence by age was generated from the model at 21-day intervals and was compared to the cross-sectional field data using log-likelihood, accounting for the accuracy of the ELISA test used. The model was run for various isolation practices of purchased gilts, contact structure, herd size and the frequency of re-introduction of infectious gilts. The time-dependent log-likelihood patterns varied between herds in a similar way to patterns observed from serological values from the 103 farms","10.1016/j.prevetmed.2009.11.001","doi_invalid",2026-06-25,"Evans et al., 2010",2010,"Alistair Antonopoulos",2025-08-28,1e-05,"Transmission","Transmission*842"
"Probability of transmission via direct contact","Rearing-pigs (same pen) - Sows (service)",NA,"SIRS",NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,1e-05,NA,NA,NA,NA,"A stochastic, mathematical model of a farrow-finish pig herd was developed and used to investigate the within-herd transmission dynamics of PRBovine Respiratory Syncytial Virus, and to examine patterns of on-farm persistence and fade-out. The model was structured to represent the management of a typical European pig herd. Three parameters determining the natural history of infection were derived from the literature. Transmission parameters were chosen using PRBovine Respiratory Syncytial Virus antibody data from a cross-sectional study of 103 pig herds (Evans et al., 2008). The seroprevalence by age was generated from the model at 21-day intervals and was compared to the cross-sectional field data using log-likelihood, accounting for the accuracy of the ELISA test used. The model was run for various isolation practices of purchased gilts, contact structure, herd size and the frequency of re-introduction of infectious gilts. The time-dependent log-likelihood patterns varied between herds in a similar way to patterns observed from serological values from the 103 farms","10.1016/j.prevetmed.2009.11.001","doi_invalid",2026-06-25,"Evans et al., 2010",2010,"Alistair Antonopoulos",2025-08-28,1e-05,"Transmission","Transmission*843"
"Probability of transmission via direct contact","Rearing-pigs (same pen) - Sows (gestating)",NA,"SIRS",NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,1e-05,NA,NA,NA,NA,"A stochastic, mathematical model of a farrow-finish pig herd was developed and used to investigate the within-herd transmission dynamics of PRBovine Respiratory Syncytial Virus, and to examine patterns of on-farm persistence and fade-out. The model was structured to represent the management of a typical European pig herd. Three parameters determining the natural history of infection were derived from the literature. Transmission parameters were chosen using PRBovine Respiratory Syncytial Virus antibody data from a cross-sectional study of 103 pig herds (Evans et al., 2008). The seroprevalence by age was generated from the model at 21-day intervals and was compared to the cross-sectional field data using log-likelihood, accounting for the accuracy of the ELISA test used. The model was run for various isolation practices of purchased gilts, contact structure, herd size and the frequency of re-introduction of infectious gilts. The time-dependent log-likelihood patterns varied between herds in a similar way to patterns observed from serological values from the 103 farms","10.1016/j.prevetmed.2009.11.001","doi_invalid",2026-06-25,"Evans et al., 2010",2010,"Alistair Antonopoulos",2025-08-28,1e-05,"Transmission","Transmission*844"
"Probability of transmission via direct contact","Rearing-pigs (same pen) - Sows (same farrowing room)",NA,"SIRS",NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,1e-05,NA,NA,NA,NA,"A stochastic, mathematical model of a farrow-finish pig herd was developed and used to investigate the within-herd transmission dynamics of PRBovine Respiratory Syncytial Virus, and to examine patterns of on-farm persistence and fade-out. The model was structured to represent the management of a typical European pig herd. Three parameters determining the natural history of infection were derived from the literature. Transmission parameters were chosen using PRBovine Respiratory Syncytial Virus antibody data from a cross-sectional study of 103 pig herds (Evans et al., 2008). The seroprevalence by age was generated from the model at 21-day intervals and was compared to the cross-sectional field data using log-likelihood, accounting for the accuracy of the ELISA test used. The model was run for various isolation practices of purchased gilts, contact structure, herd size and the frequency of re-introduction of infectious gilts. The time-dependent log-likelihood patterns varied between herds in a similar way to patterns observed from serological values from the 103 farms","10.1016/j.prevetmed.2009.11.001","doi_invalid",2026-06-25,"Evans et al., 2010",2010,"Alistair Antonopoulos",2025-08-28,1e-05,"Transmission","Transmission*845"
"Probability of transmission via direct contact","Rearing-pigs (same pen) - Sows (different farrowing rooms)",NA,"SIRS",NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,1e-05,NA,NA,NA,NA,"A stochastic, mathematical model of a farrow-finish pig herd was developed and used to investigate the within-herd transmission dynamics of PRBovine Respiratory Syncytial Virus, and to examine patterns of on-farm persistence and fade-out. The model was structured to represent the management of a typical European pig herd. Three parameters determining the natural history of infection were derived from the literature. Transmission parameters were chosen using PRBovine Respiratory Syncytial Virus antibody data from a cross-sectional study of 103 pig herds (Evans et al., 2008). The seroprevalence by age was generated from the model at 21-day intervals and was compared to the cross-sectional field data using log-likelihood, accounting for the accuracy of the ELISA test used. The model was run for various isolation practices of purchased gilts, contact structure, herd size and the frequency of re-introduction of infectious gilts. The time-dependent log-likelihood patterns varied between herds in a similar way to patterns observed from serological values from the 103 farms","10.1016/j.prevetmed.2009.11.001","doi_invalid",2026-06-25,"Evans et al., 2010",2010,"Alistair Antonopoulos",2025-08-28,1e-05,"Transmission","Transmission*846"
"Probability of transmission via indirect contact","Different buildings - Maiden gilts",NA,"SIRS",NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,1e-05,NA,NA,NA,NA,"A stochastic, mathematical model of a farrow-finish pig herd was developed and used to investigate the within-herd transmission dynamics of PRBovine Respiratory Syncytial Virus, and to examine patterns of on-farm persistence and fade-out. The model was structured to represent the management of a typical European pig herd. Three parameters determining the natural history of infection were derived from the literature. Transmission parameters were chosen using PRBovine Respiratory Syncytial Virus antibody data from a cross-sectional study of 103 pig herds (Evans et al., 2008). The seroprevalence by age was generated from the model at 21-day intervals and was compared to the cross-sectional field data using log-likelihood, accounting for the accuracy of the ELISA test used. The model was run for various isolation practices of purchased gilts, contact structure, herd size and the frequency of re-introduction of infectious gilts. The time-dependent log-likelihood patterns varied between herds in a similar way to patterns observed from serological values from the 103 farms","10.1016/j.prevetmed.2009.11.001","doi_invalid",2026-06-25,"Evans et al., 2010",2010,"Alistair Antonopoulos",2025-08-28,1e-05,"Transmission","Transmission*847"
"Probability of transmission via indirect contact","Different buildings - Sows (service)",NA,"SIRS",NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,1e-05,NA,NA,NA,NA,"A stochastic, mathematical model of a farrow-finish pig herd was developed and used to investigate the within-herd transmission dynamics of PRBovine Respiratory Syncytial Virus, and to examine patterns of on-farm persistence and fade-out. The model was structured to represent the management of a typical European pig herd. Three parameters determining the natural history of infection were derived from the literature. Transmission parameters were chosen using PRBovine Respiratory Syncytial Virus antibody data from a cross-sectional study of 103 pig herds (Evans et al., 2008). The seroprevalence by age was generated from the model at 21-day intervals and was compared to the cross-sectional field data using log-likelihood, accounting for the accuracy of the ELISA test used. The model was run for various isolation practices of purchased gilts, contact structure, herd size and the frequency of re-introduction of infectious gilts. The time-dependent log-likelihood patterns varied between herds in a similar way to patterns observed from serological values from the 103 farms","10.1016/j.prevetmed.2009.11.001","doi_invalid",2026-06-25,"Evans et al., 2010",2010,"Alistair Antonopoulos",2025-08-28,1e-05,"Transmission","Transmission*848"
"Probability of transmission via indirect contact","Different buildings - Sows (gestating)",NA,"SIRS",NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,1e-05,NA,NA,NA,NA,"A stochastic, mathematical model of a farrow-finish pig herd was developed and used to investigate the within-herd transmission dynamics of PRBovine Respiratory Syncytial Virus, and to examine patterns of on-farm persistence and fade-out. The model was structured to represent the management of a typical European pig herd. Three parameters determining the natural history of infection were derived from the literature. Transmission parameters were chosen using PRBovine Respiratory Syncytial Virus antibody data from a cross-sectional study of 103 pig herds (Evans et al., 2008). The seroprevalence by age was generated from the model at 21-day intervals and was compared to the cross-sectional field data using log-likelihood, accounting for the accuracy of the ELISA test used. The model was run for various isolation practices of purchased gilts, contact structure, herd size and the frequency of re-introduction of infectious gilts. The time-dependent log-likelihood patterns varied between herds in a similar way to patterns observed from serological values from the 103 farms","10.1016/j.prevetmed.2009.11.001","doi_invalid",2026-06-25,"Evans et al., 2010",2010,"Alistair Antonopoulos",2025-08-28,1e-05,"Transmission","Transmission*849"
"Probability of transmission via indirect contact","Different buildings - Sows (same farrowing room)",NA,"SIRS",NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,1e-05,NA,NA,NA,NA,"A stochastic, mathematical model of a farrow-finish pig herd was developed and used to investigate the within-herd transmission dynamics of PRBovine Respiratory Syncytial Virus, and to examine patterns of on-farm persistence and fade-out. The model was structured to represent the management of a typical European pig herd. Three parameters determining the natural history of infection were derived from the literature. Transmission parameters were chosen using PRBovine Respiratory Syncytial Virus antibody data from a cross-sectional study of 103 pig herds (Evans et al., 2008). The seroprevalence by age was generated from the model at 21-day intervals and was compared to the cross-sectional field data using log-likelihood, accounting for the accuracy of the ELISA test used. The model was run for various isolation practices of purchased gilts, contact structure, herd size and the frequency of re-introduction of infectious gilts. The time-dependent log-likelihood patterns varied between herds in a similar way to patterns observed from serological values from the 103 farms","10.1016/j.prevetmed.2009.11.001","doi_invalid",2026-06-25,"Evans et al., 2010",2010,"Alistair Antonopoulos",2025-08-28,1e-05,"Transmission","Transmission*850"
"Probability of transmission via indirect contact","Different buildings - Sows (different farrowing rooms)",NA,"SIRS",NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,1e-05,NA,NA,NA,NA,"A stochastic, mathematical model of a farrow-finish pig herd was developed and used to investigate the within-herd transmission dynamics of PRBovine Respiratory Syncytial Virus, and to examine patterns of on-farm persistence and fade-out. The model was structured to represent the management of a typical European pig herd. Three parameters determining the natural history of infection were derived from the literature. Transmission parameters were chosen using PRBovine Respiratory Syncytial Virus antibody data from a cross-sectional study of 103 pig herds (Evans et al., 2008). The seroprevalence by age was generated from the model at 21-day intervals and was compared to the cross-sectional field data using log-likelihood, accounting for the accuracy of the ELISA test used. The model was run for various isolation practices of purchased gilts, contact structure, herd size and the frequency of re-introduction of infectious gilts. The time-dependent log-likelihood patterns varied between herds in a similar way to patterns observed from serological values from the 103 farms","10.1016/j.prevetmed.2009.11.001","doi_invalid",2026-06-25,"Evans et al., 2010",2010,"Alistair Antonopoulos",2025-08-28,1e-05,"Transmission","Transmission*851"
"Probability of transmission via indirect contact","Different buildings - Rearing-pigs (same pen)",NA,"SIRS",NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,1e-05,NA,NA,NA,NA,"A stochastic, mathematical model of a farrow-finish pig herd was developed and used to investigate the within-herd transmission dynamics of PRBovine Respiratory Syncytial Virus, and to examine patterns of on-farm persistence and fade-out. The model was structured to represent the management of a typical European pig herd. Three parameters determining the natural history of infection were derived from the literature. Transmission parameters were chosen using PRBovine Respiratory Syncytial Virus antibody data from a cross-sectional study of 103 pig herds (Evans et al., 2008). The seroprevalence by age was generated from the model at 21-day intervals and was compared to the cross-sectional field data using log-likelihood, accounting for the accuracy of the ELISA test used. The model was run for various isolation practices of purchased gilts, contact structure, herd size and the frequency of re-introduction of infectious gilts. The time-dependent log-likelihood patterns varied between herds in a similar way to patterns observed from serological values from the 103 farms","10.1016/j.prevetmed.2009.11.001","doi_invalid",2026-06-25,"Evans et al., 2010",2010,"Alistair Antonopoulos",2025-08-28,1e-05,"Transmission","Transmission*852"
"Basic reproduction number","R0c","day 7",NA,NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,0.86,0.14,3.75,NA,NA,"We study the statistical inference from data on transmission obtained from one-to-one","10.1017/s0950268801006707","doi_invalid",2026-06-25,"VELTHUIS et al., 2002",2002,"Alistair Antonopoulos",2025-08-28,0.86,"Transmission","Transmission*853"
"Basic reproduction number","R0c","day 7",NA,NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,6.12,1.18,18.53,NA,NA,"We study the statistical inference from data on transmission obtained from one-to-one","10.1017/s0950268801006707","doi_invalid",2026-06-25,"VELTHUIS et al., 2002",2002,"Alistair Antonopoulos",2025-08-28,6.12,"Transmission","Transmission*854"
"Basic reproduction number","R0c","day 10",NA,NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,18,2.49,NA,NA,NA,"We study the statistical inference from data on transmission obtained from one-to-one","10.1017/s0950268801006707","doi_invalid",2026-06-25,"VELTHUIS et al., 2002",2002,"Alistair Antonopoulos",2025-08-28,18,"Transmission","Transmission*855"
"Basic reproduction number","R0c","day 10",NA,NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,43.41,14.08,NA,NA,NA,"We study the statistical inference from data on transmission obtained from one-to-one","10.1017/s0950268801006707","doi_invalid",2026-06-25,"VELTHUIS et al., 2002",2002,"Alistair Antonopoulos",2025-08-28,43.41,"Transmission","Transmission*856"
"Basic reproduction number","R0c","day 14",NA,NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,NA,4.48,NA,NA,NA,"We study the statistical inference from data on transmission obtained from one-to-one","10.1017/s0950268801006707","doi_invalid",2026-06-25,"VELTHUIS et al., 2002",2002,"Alistair Antonopoulos",2025-08-28,NA,"Transmission","Transmission*857"
"Basic reproduction number","R0c","day 14",NA,NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,NA,13.93,NA,NA,NA,"We study the statistical inference from data on transmission obtained from one-to-one","10.1017/s0950268801006707","doi_invalid",2026-06-25,"VELTHUIS et al., 2002",2002,"Alistair Antonopoulos",2025-08-28,NA,"Transmission","Transmission*858"
"Basic reproduction number","R0c","day 17",NA,NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,NA,4.48,NA,NA,NA,"We study the statistical inference from data on transmission obtained from one-to-one","10.1017/s0950268801006707","doi_invalid",2026-06-25,"VELTHUIS et al., 2002",2002,"Alistair Antonopoulos",2025-08-28,NA,"Transmission","Transmission*859"
"Basic reproduction number","R0c","day 17",NA,NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,NA,11.4,NA,NA,NA,"We study the statistical inference from data on transmission obtained from one-to-one","10.1017/s0950268801006707","doi_invalid",2026-06-25,"VELTHUIS et al., 2002",2002,"Alistair Antonopoulos",2025-08-28,NA,"Transmission","Transmission*860"
"Basic reproduction number","R0v","day 7",NA,NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,0.25,0.01,1.86,NA,NA,"We study the statistical inference from data on transmission obtained from one-to-one","10.1017/s0950268801006707","doi_invalid",2026-06-25,"VELTHUIS et al., 2002",2002,"Alistair Antonopoulos",2025-08-28,0.25,"Transmission","Transmission*861"
"Basic reproduction number","R0v","day 7",NA,NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,3.42,0.08,19.29,NA,NA,"We study the statistical inference from data on transmission obtained from one-to-one","10.1017/s0950268801006707","doi_invalid",2026-06-25,"VELTHUIS et al., 2002",2002,"Alistair Antonopoulos",2025-08-28,3.42,"Transmission","Transmission*862"
"Basic reproduction number","R0v","day 10",NA,NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,0.25,0.01,1.86,NA,NA,"We study the statistical inference from data on transmission obtained from one-to-one","10.1017/s0950268801006707","doi_invalid",2026-06-25,"VELTHUIS et al., 2002",2002,"Alistair Antonopoulos",2025-08-28,0.25,"Transmission","Transmission*863"
"Basic reproduction number","R0v","day 10",NA,NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,2.01,0.05,11.4,NA,NA,"We study the statistical inference from data on transmission obtained from one-to-one","10.1017/s0950268801006707","doi_invalid",2026-06-25,"VELTHUIS et al., 2002",2002,"Alistair Antonopoulos",2025-08-28,2.01,"Transmission","Transmission*864"
"Basic reproduction number","R0v","day 14",NA,NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,4,0.85,24.72,NA,NA,"We study the statistical inference from data on transmission obtained from one-to-one","10.1017/s0950268801006707","doi_invalid",2026-06-25,"VELTHUIS et al., 2002",2002,"Alistair Antonopoulos",2025-08-28,4,"Transmission","Transmission*865"
"Basic reproduction number","R0v","day 14",NA,NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,12.95,4.04,36.13,NA,NA,"We study the statistical inference from data on transmission obtained from one-to-one","10.1017/s0950268801006707","doi_invalid",2026-06-25,"VELTHUIS et al., 2002",2002,"Alistair Antonopoulos",2025-08-28,12.95,"Transmission","Transmission*866"
"Basic reproduction number","R0v","day 17",NA,NA,NA,"Other","PRRS",NA,"Pig",NA,NA,"multiple","Full simulated herd including introduction of gilts",NA,NA,NA,NA,3.95,NA,NA,NA,"experiments, and compare two algorithms by which the reproduction ratio can be quantified.","10.1017/s0950268801006707","doi_invalid",2026-06-25,"VELTHUIS et al., 2002",2002,"Alistair Antonopoulos",2025-08-28,NA,"Transmission","Transmission*867"
"Basic reproduction number","R0v","day 17","SIR",NA,NA,"Other","PRRS",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,NA,10.49,NA,NA,NA,"The first algorithm, the transient state (TS) algorithm, takes the time course of the epidemic","10.1017/s0950268801006707","doi_invalid",2026-06-25,"VELTHUIS et al., 2002",2002,"Alistair Antonopoulos",2025-08-28,NA,"Transmission","Transmission*868"
"Transmission parameter","local",NA,"SUD",NA,NA,"Other","PRRS",NA,"Pig","Multiple",NA,"Multiple",NA,"Yes",NA,NA,0.03,NA,NA,NA,NA,"into account. The second algorithm, the final size (FS) algorithm, does not take time into","10.1111/tbed.14007","doi_invalid",2026-06-25,"Galvis et al., 2021",2021,"Alistair Antonopoulos",2025-08-28,0.03,"Transmission","Transmission*869"
"Transmission parameter",NA,NA,"SUD",NA,NA,"Other","PRRS",NA,"Pig","Multiple",NA,"Multiple",NA,"Yes",NA,NA,0.019,NA,NA,NA,NA,"into account. The second algorithm, the final size (FS) algorithm, does not take time into","10.1111/tbed.14007","doi_invalid",2026-06-25,"Galvis et al., 2021",2021,"Alistair Antonopoulos",2025-08-28,0.019,"Transmission","Transmission*870"
"Other","Animal movement/transport","k-statistic","Network Analysis",NA,NA,"Observational","PRRS","PRRS 2 L1A; L1B; L1C; L8; L5; Type 1","Pig",NA,NA,"Multiple (vertically integrated facilities across whole region encompassing whole production)",NA,NA,NA,NA,0.43,NA,NA,NA,NA,"experiment is stopped","10.1016/j.prevetmed.2020.104977","doi_invalid",2026-06-25,"VanderWaal et al., 2020",2020,"Alistair Antonopoulos",2025-08-28,0.43,"Transmission","Transmission*871"
"Other","Animal movement/transport","k-statistic","Network Analysis",NA,NA,"Observational","PRRS","PRRS 2 L1A; L1B; L1C; L8; L5; Type 1","Pig",NA,NA,"Multiple (vertically integrated facilities across whole region encompassing whole production)",NA,NA,NA,NA,9.43,NA,NA,NA,NA,"experiment is stopped","10.1016/j.prevetmed.2020.104977","doi_invalid",2026-06-25,"VanderWaal et al., 2020",2020,"Alistair Antonopoulos",2025-08-28,9.43,"Transmission","Transmission*872"
"Probability of transmission via direct contact",NA,NA,NA,NA,NA,"Observational","PRRS",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"[Derived from Neumann et al., 2007 (https://doi.org/10.1080/00480169.2007.36789), listed in Tkahur et al., 2015 (https://doi.org/10.1016/j.prevetmed.2015.01.006)] The objectives of this study were to develop a model to simulate between-farm spread of a homologous strain of PRRS virus in Ontario swine farms via direct (animal movement) and indirect (sharing of trucks between farms) contacts using the NAADSM and to compare the patterns and extent of outbreak under different simulated conditions. A total of 2552 swine farms in Ontario province were allocated to each census division of Ontario and geo-locations of the farms were randomly generated within the agriculture land of each Census Division. Contact rates among different production types were obtained using pig movement information from four regions in Canada. A total of 24 scenarios were developed involving various direct (movement of infected animals) and indirect (pig transportation trucks) contact parameters in combination with alternating the production type of the farm in which the infection was seeded. Outbreaks were simulated for one year with 1000 replications.","10.1016/j.prevetmed.2015.01.006","doi_invalid",2026-06-25,"Thakur et al., 2015",2015,"Alistair Antonopoulos",2025-08-28,1,"Transmission","Transmission*873"
"Probability of transmission via indirect contact",NA,NA,NA,NA,NA,"Observational","PRRS",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,"[assumed] The objectives of this study were to develop a model to simulate between-farm spread of a homologous strain of PRRS virus in Ontario swine farms via direct (animal movement) and indirect (sharing of trucks between farms) contacts using the NAADSM and to compare the patterns and extent of outbreak under different simulated conditions. A total of 2552 swine farms in Ontario province were allocated to each census division of Ontario and geo-locations of the farms were randomly generated within the agriculture land of each Census Division. Contact rates among different production types were obtained using pig movement information from four regions in Canada. A total of 24 scenarios were developed involving various direct (movement of infected animals) and indirect (pig transportation trucks) contact parameters in combination with alternating the production type of the farm in which the infection was seeded. Outbreaks were simulated for one year with 1000 replications.","10.1016/j.prevetmed.2015.01.006","doi_invalid",2026-06-25,"Thakur et al., 2015",2015,"Alistair Antonopoulos",2025-08-28,0.1,"Transmission","Transmission*874"
"Other","fly born transmission of PRRS","km",NA,NA,NA,"Experimental Stable","PRRS","MN 30-100","Pig",NA,NA,"4 months",NA,NA,NA,NA,1.7,NA,NA,NA,NA,"To determine whether flies can acquire porcine reproductive and respiratory syndrome virus (PRBovine Respiratory Syncytial Virus) and disperse the virus throughout a designated area.","10.2460/ajvr.2004.65.1284","doi_invalid",2026-06-25,"Schurrer et al., 2004",2004,"Alistair Antonopoulos",2025-08-28,1.7,"Transmission","Transmission*875"
"Other","minimum infectious dose (aerosol)","ID50",NA,NA,NA,"Review","PRRS",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Review on the transmission porcine reproductive and respiratory syndrome virus between pigs and farms and impact on vaccination","10.1186/s13567-016-0391-4","doi_invalid",2026-06-25,"Pileri et al., 2016",2016,"Alistair Antonopoulos",2025-08-28,2,"Transmission","Transmission*876"
