"parameter","test_type","pathogen","host","host_type","host_breed","host_age","host_other","study_type","sample_type","value","lower_cl","upper_cl","remarks","ref","ref_status","ref_last_access","ref_short","year","filled_by","filled_date","value_original","parameter_type","id"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.83,NA,NA,"LAM","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.83,"DiagnosticTest","DiagnosticTest*532"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.9,NA,NA,"PPA3","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.9,"DiagnosticTest","DiagnosticTest*533"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.69,NA,NA,"PPA3","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.69,"DiagnosticTest","DiagnosticTest*534"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.95,NA,NA,"PPA3","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.95,"DiagnosticTest","DiagnosticTest*535"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.41,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.41,"DiagnosticTest","DiagnosticTest*536"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.89,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.89,"DiagnosticTest","DiagnosticTest*537"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.83,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.83,"DiagnosticTest","DiagnosticTest*538"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.83,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.83,"DiagnosticTest","DiagnosticTest*539"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.98,NA,NA,"VRI316","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.98,"DiagnosticTest","DiagnosticTest*540"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.99,NA,NA,"VRI316","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.99,"DiagnosticTest","DiagnosticTest*541"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.94,NA,NA,"VRI316","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.94,"DiagnosticTest","DiagnosticTest*542"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.95,NA,NA,"IDEXX","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.95,"DiagnosticTest","DiagnosticTest*543"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",1,NA,NA,"IDEXX","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*544"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.91,NA,NA,"LAM","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.91,"DiagnosticTest","DiagnosticTest*545"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.9,NA,NA,"PPA3","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.9,"DiagnosticTest","DiagnosticTest*546"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.93,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.93,"DiagnosticTest","DiagnosticTest*547"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.97,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.97,"DiagnosticTest","DiagnosticTest*548"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",1,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*549"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.85,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.85,"DiagnosticTest","DiagnosticTest*550"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",1,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*551"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.99,NA,NA,"VRI316","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.99,"DiagnosticTest","DiagnosticTest*552"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",1,NA,NA,"VRI316","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*553"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.9,NA,NA,"VRI316","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.9,"DiagnosticTest","DiagnosticTest*554"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",1,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*555"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.98,NA,NA,"VRI316","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.98,"DiagnosticTest","DiagnosticTest*556"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.98,NA,NA,"IDEXX","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.98,"DiagnosticTest","DiagnosticTest*557"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.96,NA,NA,"LAM","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.96,"DiagnosticTest","DiagnosticTest*558"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.91,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.91,"DiagnosticTest","DiagnosticTest*559"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.96,NA,NA,"VRI316","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.96,"DiagnosticTest","DiagnosticTest*560"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",NA,NA,NA,"VRI316","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,NA,"DiagnosticTest","DiagnosticTest*561"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.99,NA,NA,"VRI316","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.99,"DiagnosticTest","DiagnosticTest*562"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",1,NA,NA,"VRI316","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*563"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.98,NA,NA,"VRI316","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.98,"DiagnosticTest","DiagnosticTest*564"
"Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Milk",0.61,NA,NA,"Allied","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.61,"DiagnosticTest","DiagnosticTest*565"
"Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,">2 years",NA,"Systematic Review","Milk",0.54,NA,NA,"Allied","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.54,"DiagnosticTest","DiagnosticTest*566"
"Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,">=2nd lactation",NA,"Systematic Review","Milk",0.21,NA,NA,"Allied","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.21,"DiagnosticTest","DiagnosticTest*567"
"Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Milk",0.6,NA,NA,"LAM","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.6,"DiagnosticTest","DiagnosticTest*568"
"Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Milk",0.29,NA,NA,"Allied","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.29,"DiagnosticTest","DiagnosticTest*569"
"Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,"cows",NA,"Systematic Review","Milk",0.39,NA,NA,"Allied","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.39,"DiagnosticTest","DiagnosticTest*570"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Milk",0.95,NA,NA,"Allied","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.95,"DiagnosticTest","DiagnosticTest*571"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,">2 years",NA,"Systematic Review","Milk",0.95,NA,NA,"Allied","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.95,"DiagnosticTest","DiagnosticTest*572"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,">=2nd lactation",NA,"Systematic Review","Milk",0.98,NA,NA,"Allied","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.98,"DiagnosticTest","DiagnosticTest*573"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Milk",0.83,NA,NA,"LAM","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.83,"DiagnosticTest","DiagnosticTest*574"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Milk",1,NA,NA,"Allied","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*575"
"Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,"cows",NA,"Systematic Review","Milk",0.96,NA,NA,"Allied","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.96,"DiagnosticTest","DiagnosticTest*576"
"Sensitivity","IFN-γ","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review",NA,0.13,NA,NA,"PPDa","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.13,"DiagnosticTest","DiagnosticTest*577"
"Sensitivity","IFN-γ","Paratuberculosis","Cattle",NA,NA,"1-2 years",NA,"Systematic Review",NA,0.5,NA,NA,"PPDj","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.5,"DiagnosticTest","DiagnosticTest*578"
"Sensitivity","IFN-γ","Paratuberculosis","Cattle",NA,NA,"2-3 years",NA,"Systematic Review",NA,0.85,NA,NA,"PPDj","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.85,"DiagnosticTest","DiagnosticTest*579"
"Sensitivity","IFN-γ","Paratuberculosis","Cattle",NA,NA,">3 years",NA,"Systematic Review",NA,0.75,NA,NA,"PPDj","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.75,"DiagnosticTest","DiagnosticTest*580"
"Specificity","IFN-γ","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review",NA,0.88,NA,NA,"PPDa","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.88,"DiagnosticTest","DiagnosticTest*581"
"Specificity","IFN-γ","Paratuberculosis","Cattle",NA,NA,"1-2 years",NA,"Systematic Review",NA,0.94,NA,NA,"PPDj","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.94,"DiagnosticTest","DiagnosticTest*582"
"Specificity","IFN-γ","Paratuberculosis","Cattle",NA,NA,"2-3 years",NA,"Systematic Review",NA,0.94,NA,NA,"PPDj","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.94,"DiagnosticTest","DiagnosticTest*583"
"Specificity","IFN-γ","Paratuberculosis","Cattle",NA,NA,">3 years",NA,"Systematic Review",NA,0.95,NA,NA,"PPDj","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.95,"DiagnosticTest","DiagnosticTest*584"
"Sensitivity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",0.82,NA,NA,"IDEXX","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.82,"DiagnosticTest","DiagnosticTest*585"
"Sensitivity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",0.91,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.91,"DiagnosticTest","DiagnosticTest*586"
"Sensitivity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",0.86,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.86,"DiagnosticTest","DiagnosticTest*587"
"Sensitivity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",0.91,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.91,"DiagnosticTest","DiagnosticTest*588"
"Sensitivity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",0.87,NA,NA,"VRI316","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.87,"DiagnosticTest","DiagnosticTest*589"
"Sensitivity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",0.88,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.88,"DiagnosticTest","DiagnosticTest*590"
"Sensitivity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",0.88,NA,NA,"PPA3","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.88,"DiagnosticTest","DiagnosticTest*591"
"Sensitivity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",1,NA,NA,"PPA3","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*592"
"Sensitivity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",0.54,NA,NA,"IDEXX","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.54,"DiagnosticTest","DiagnosticTest*593"
"Sensitivity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",0.92,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.92,"DiagnosticTest","DiagnosticTest*594"
"Sensitivity","ELISA","Paratuberculosis","Goats",NA,NA,">1 year",NA,"Systematic Review","Serum",0.78,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.78,"DiagnosticTest","DiagnosticTest*595"
"Sensitivity","ELISA","Paratuberculosis","Goats",NA,NA,">1 year",NA,"Systematic Review","Serum",0.63,NA,NA,"IDEXX","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.63,"DiagnosticTest","DiagnosticTest*596"
"Sensitivity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",0.84,NA,NA,"VRI316","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.84,"DiagnosticTest","DiagnosticTest*597"
"Sensitivity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",0.83,NA,NA,"IDEXX","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.83,"DiagnosticTest","DiagnosticTest*598"
"Specificity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",0.95,NA,NA,"IDEXX","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.95,"DiagnosticTest","DiagnosticTest*599"
"Specificity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",0.79,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.79,"DiagnosticTest","DiagnosticTest*600"
"Specificity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",0.92,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.92,"DiagnosticTest","DiagnosticTest*601"
"Specificity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",0.92,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.92,"DiagnosticTest","DiagnosticTest*602"
"Specificity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",1,NA,NA,"VRI316","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*603"
"Specificity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",0.94,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.94,"DiagnosticTest","DiagnosticTest*604"
"Specificity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",0.95,NA,NA,"PPA3","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.95,"DiagnosticTest","DiagnosticTest*605"
"Specificity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",0.93,NA,NA,"PPA3","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.93,"DiagnosticTest","DiagnosticTest*606"
"Specificity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",1,NA,NA,"IDEXX","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*607"
"Specificity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",NA,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,NA,"DiagnosticTest","DiagnosticTest*608"
"Specificity","ELISA","Paratuberculosis","Goats",NA,NA,">1 year",NA,"Systematic Review","Serum",1,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*609"
"Specificity","ELISA","Paratuberculosis","Goats",NA,NA,">1 year",NA,"Systematic Review","Serum",0.95,NA,NA,"IDEXX","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.95,"DiagnosticTest","DiagnosticTest*610"
"Specificity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",1,NA,NA,"VRI316","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*611"
"Specificity","ELISA","Paratuberculosis","Goats",NA,NA,NA,NA,"Systematic Review","Serum",1,NA,NA,"IDEXX","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,1,"DiagnosticTest","DiagnosticTest*612"
"Sensitivity","ELISA","Paratuberculosis","Sheep",NA,NA,"2–5 years",NA,"Systematic Review","Serum",0.63,NA,NA,"VRI316","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.63,"DiagnosticTest","DiagnosticTest*613"
"Sensitivity","ELISA","Paratuberculosis","Sheep",NA,NA,"2–4 years",NA,"Systematic Review","Serum",0.83,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.83,"DiagnosticTest","DiagnosticTest*614"
"Sensitivity","ELISA","Paratuberculosis","Sheep",NA,NA,NA,NA,"Systematic Review","Serum",0.83,NA,NA,"VRI316","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.83,"DiagnosticTest","DiagnosticTest*615"
"Sensitivity","ELISA","Paratuberculosis","Sheep",NA,NA,NA,NA,"Systematic Review","Serum",0.85,NA,NA,"VRI316","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.85,"DiagnosticTest","DiagnosticTest*616"
"Sensitivity","ELISA","Paratuberculosis","Sheep",NA,NA,NA,NA,"Systematic Review","Serum",0.36,NA,NA,"Various","10.1016/j.vetmic.2007.12.011","doi_invalid",2026-06-25,"Nielsen et al., 2008",2008,"Alistair Antonopoulos",2025-08-28,0.36,"DiagnosticTest","DiagnosticTest*617"
