"parameter","if_other","unit","model_type","model_mixing","model_scale","study_type","pathogen","variant_strain","host","host_type","host_breed","host_age","host_other","vaccine_seeder","vaccine_contact","vaccine","value","lower_cl","upper_cl","estimation_type","estimation_method","remarks","ref","ref_short","year","filled_by","parameter_type","id","scale","inoculated_contact","material","test_type","sample_type","time_period","country","sampling_purpose","info_level","plan_implemented","plan_voluntary_compulsary","plan_coverage","country_disease_status","plan_type","last_updated"
"Specificity",NA,NA,NA,NA,NA,NA,"Campylobacter",NA,"Poultry",NA,NA,NA,"lpxA",NA,NA,NA,0.943,NA,NA,NA,NA,"This study examined the sensitivity and specificity of 12 PCR assays targeting 23S rRNA, ceuE, lpxA, hipO, mapA, ask, and cdt genes of C. jejuni and C. coli. The sensitivities of PCR assays were 85.2–100%, and 97–100%, and the specificities were 90.5–100%, and 94.3–100% for the tested C. jejuni (n = 61) and C. coli (n = 33) strains, respectively. Two PCR assays, targeting cdtC and hipO genes, were found to be 100% sensitive and/or specific for all C. jejuni strains, while 3 assays, targeting cdtB, cdtA, and ask genes, were 100% sensitive and/or specific for C. coli strains. However, PCR assays for hipO and ask genes are problematic to conduct simultaneously due to the differences in PCR conditions. Overall, multiplex PCR assays targeting cdtC and cdtB genes, encoding 2 subunits of the same toxin, were concluded to be the most reliable.","10.7883/yoken.jjid.2018.340","Kabir et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_217",NA,NA,NA,"PCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,NA,"Classical Swine Fever",NA,"Pigs",NA,NA,NA,"prioCHECK CSFV Erns",NA,NA,NA,0.9,NA,NA,NA,NA,"This review thus presents recent advances in the diagnosis of CSF and future perspectives.","10.3390/pathogens9080658","Wang et al., 2020",2020,"AA","DiagnosticTest","DiagnosticTest_218",NA,NA,NA,"ELISA","vaccinated sera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,NA,"Classical Swine Fever",NA,"Pigs",NA,NA,NA,"prioCHECK CSFV Erns",NA,NA,NA,0.98,NA,NA,NA,NA,"This review thus presents recent advances in the diagnosis of CSF and future perspectives.","10.3390/pathogens9080658","Wang et al., 2020",2020,"AA","DiagnosticTest","DiagnosticTest_219",NA,NA,NA,"ELISA","vaccinated sera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,NA,"Classical Swine Fever",NA,"Pigs",NA,NA,NA,"prioCHECK CSFV Erns",NA,NA,NA,0.89,NA,NA,NA,NA,"This review thus presents recent advances in the diagnosis of CSF and future perspectives.","10.3390/pathogens9080658","Wang et al., 2020",2020,"AA","DiagnosticTest","DiagnosticTest_220",NA,NA,NA,"ELISA","vaccinated sera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,NA,"Classical Swine Fever",NA,"Pigs",NA,NA,NA,"prioCHECK CSFV Erns",NA,NA,NA,0.96,NA,NA,NA,NA,"This review thus presents recent advances in the diagnosis of CSF and future perspectives.","10.3390/pathogens9080658","Wang et al., 2020",2020,"AA","DiagnosticTest","DiagnosticTest_221",NA,NA,NA,"ELISA","vaccinated sera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,NA,"Coxiella burnetii",NA,"Ruminants",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"The CHEKIT Q Fever Antibody ELISA, (IDEXX Laboratories, Inc) is based on C. burnetii purified antigens of the 9‐Mile tick‐sourced strain.32 It can be used on serum, plasma and milk of ruminants. The manufacturer claims 100% sensitivity and 100% specificity based on tests performed on 81 samples of animals with known infection status.","10.1111/jvim.15229","Plummer et al., 2018",2018,"AA","DiagnosticTest","DiagnosticTest_222",NA,NA,NA,"ELISA Ag","Serum; plasma; milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,NA,"Coxiella burnetii",NA,"Ruminants",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"The CHEKIT Q Fever Antibody ELISA, (IDEXX Laboratories, Inc) is based on C. burnetii purified antigens of the 9‐Mile tick‐sourced strain.32 It can be used on serum, plasma and milk of ruminants. The manufacturer claims 100% sensitivity and 100% specificity based on tests performed on 81 samples of animals with known infection status.","10.1111/jvim.15229","Plummer et al., 2018",2018,"AA","DiagnosticTest","DiagnosticTest_223",NA,NA,NA,"ELISA Ag","Serum; plasma; milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,NA,"Coxiella burnetii",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,"Less sensitive than most ELISA (as low as 10% in aborting animals); good specificity (>98%)","10.1111/jvim.15229","Plummer et al., 2018",2018,"AA","DiagnosticTest","DiagnosticTest_224",NA,NA,NA,"Complement fixation test","Serum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,NA,"Coxiella burnetii",NA,NA,NA,NA,NA,"aborting",NA,NA,NA,0.1,NA,NA,NA,NA,"Less sensitive than most ELISA (as low as 10% in aborting animals); good specificity (>98%)","10.1111/jvim.15229","Plummer et al., 2018",2018,"AA","DiagnosticTest","DiagnosticTest_225",NA,NA,NA,"Complement fixation test","Serum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,NA,"Coxiella burnetii",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,"In Europe, the LSIVET Ruminant Milk/Serum Q fever (Laboratoire Service International, Lissieu, France) is an ELISA test using an ovine‐derived antigen.33 Sensitivity is estimated to be 85% and specificity at 95%.","10.1111/jvim.15229","Plummer et al., 2018",2018,"AA","DiagnosticTest","DiagnosticTest_226",NA,NA,NA,"ELISA Ag","Serum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,NA,"Coxiella burnetii",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA,NA,NA,"In Europe, the LSIVET Ruminant Milk/Serum Q fever (Laboratoire Service International, Lissieu, France) is an ELISA test using an ovine‐derived antigen.33 Sensitivity is estimated to be 85% and specificity at 95%.","10.1111/jvim.15229","Plummer et al., 2018",2018,"AA","DiagnosticTest","DiagnosticTest_227",NA,NA,NA,"ELISA Ag","Serum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,NA,"Coxiella burnetii",NA,"Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,"Derived from https://thermofisher.com/order/catalog/product/ELISACOXLS2 listed in larger study on herd level prevalence UK dairy cattle","10.3168/jds.2016-11863","Velasova et al., 2017",2017,"AA","DiagnosticTest","DiagnosticTest_228",NA,NA,NA,"ELISA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_229",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.43,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_230",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_231",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_232",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_233",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_234",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_235",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_236",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.86,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_237",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_238",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.97,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_239",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_240",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_241",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_242",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_243",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.72,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_244",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_245",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_246",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_247",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_248",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.97,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_249",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_250",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_251",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_252",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_253",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_254",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.88,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_255",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_256",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_257",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.94,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_258",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_259",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.97,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_260",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.97,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_261",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_262",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_263",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_264",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.94,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_265",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_266",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Specificity",NA,NA,NA,NA,NA,"Comparative","E. coli",NA,"Humans; pigs",NA,NA,NA,NA,NA,NA,NA,0.99,NA,NA,NA,NA,"PCR assays were developed and compared to AST and sequencing. Sensitivity and specificity is reported for a wide range of antibiotics.","10.1371/journal.pone.0216747","Pholwat et al., 2019",2019,"AA","DiagnosticTest","DiagnosticTest_267",NA,NA,NA,"PCR","Cultured Samples (Faecal)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Meta-analysis","E. coli",NA,NA,NA,NA,NA,"amoxicillin-clavulanic acid",NA,NA,NA,0.647,NA,NA,NA,NA,"[category agreement between the two methods] EFSA report, reports a range of AST agreement percentages between the two most commonly used (EUCAST/CLSI) methodologies. However, this is not standardised in vet medicine laboratories.","10.2903/j.efsa.2022.7311","EFSA Panel on Animal Health and Welfare (AHAW), 2022",2022,"AA","DiagnosticTest","DiagnosticTest_268",NA,NA,NA,"EUCAST/CLSI Disk Diffusion AST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Meta-analysis","E. coli",NA,NA,NA,NA,NA,"ampicillin",NA,NA,NA,0.977,NA,NA,NA,NA,"[category agreement between the two methods] EFSA report, reports a range of AST agreement percentages between the two most commonly used (EUCAST/CLSI) methodologies. However, this is not standardised in vet medicine laboratories.","10.2903/j.efsa.2022.7311","EFSA Panel on Animal Health and Welfare (AHAW), 2022",2022,"AA","DiagnosticTest","DiagnosticTest_269",NA,NA,NA,"EUCAST/CLSI Disk Diffusion AST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Meta-analysis","E. coli",NA,NA,NA,NA,NA,"cirpofloxacin",NA,NA,NA,0.778,NA,NA,NA,NA,"[category agreement between the two methods] EFSA report, reports a range of AST agreement percentages between the two most commonly used (EUCAST/CLSI) methodologies. However, this is not standardised in vet medicine laboratories.","10.2903/j.efsa.2022.7311","EFSA Panel on Animal Health and Welfare (AHAW), 2022",2022,"AA","DiagnosticTest","DiagnosticTest_270",NA,NA,NA,"EUCAST/CLSI Disk Diffusion AST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
